Unnamed: 0,LAC,DEN,week,year,game_id
First Downs,22,17,6.0,2024,87
Rush-Yds-TDs,38-128-1,18-110-0,6.0,2024,87
Cmp-Att-Yd-TD-INT,21-34-237-1-0,19-33-216-2-1,6.0,2024,87
Sacked-Yards,3-15,2-10,6.0,2024,87
Net Pass Yards,222,206,6.0,2024,87
Total Yards,350,316,6.0,2024,87
Fumbles-Lost,1-0,1-1,6.0,2024,87
Turnovers,0,2,6.0,2024,87
Penalties-Yards,3-20,7-37,6.0,2024,87
Third Down Conv.,11-18,3-11,6.0,2024,87
Fourth Down Conv.,0-0,2-2,6.0,2024,87
Time of Possession,37:23,22:37,6.0,2024,87
