Unnamed: 0,BUF,NYJ,week,year,game_id
First Downs,24,20,6.0,2024,92
Rush-Yds-TDs,33-149-1,21-121-0,6.0,2024,92
Cmp-Att-Yd-TD-INT,19-25-215-2-0,23-35-294-2-1,6.0,2024,92
Sacked-Yards,2-5,3-22,6.0,2024,92
Net Pass Yards,210,272,6.0,2024,92
Total Yards,359,393,6.0,2024,92
Fumbles-Lost,1-0,1-0,6.0,2024,92
Turnovers,0,1,6.0,2024,92
Penalties-Yards,11-94,11-110,6.0,2024,92
Third Down Conv.,5-11,4-12,6.0,2024,92
Fourth Down Conv.,0-0,0-0,6.0,2024,92
Time of Possession,29:34,30:26,6.0,2024,92
