Unnamed: 0,PIT,LVR,week,year,game_id
First Downs,18,16,6.0,2024,88
Rush-Yds-TDs,35-183-3,19-57-1,6.0,2024,88
Cmp-Att-Yd-TD-INT,14-24-145-0-0,27-40-227-1-1,6.0,2024,88
Sacked-Yards,3-35,1-9,6.0,2024,88
Net Pass Yards,110,218,6.0,2024,88
Total Yards,293,275,6.0,2024,88
Fumbles-Lost,1-0,3-2,6.0,2024,88
Turnovers,0,3,6.0,2024,88
Penalties-Yards,7-50,4-42,6.0,2024,88
Third Down Conv.,4-13,2-11,6.0,2024,88
Fourth Down Conv.,1-1,1-3,6.0,2024,88
Time of Possession,31:51,28:09,6.0,2024,88
