Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Eagles to receive the opening kickoff.",,,6.0,2024,81
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 63 yards, returned by Isaiah Rodgers for 24 yards (tackle by Mohamoud Diabate)",0.0,0.67,6.0,2024,81
1.0,14:55,1.0,10.0,PHI 26,0.0,0.0,Saquon Barkley left end for 5 yards (tackle by Mohamoud Diabate),0.67,0.81,6.0,2024,81
1.0,14:19,2.0,5.0,PHI 31,0.0,0.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.81,0.1,6.0,2024,81
1.0,14:14,3.0,5.0,PHI 31,0.0,0.0,Jalen Hurts pass incomplete deep left intended for Dallas Goedert (defended by Rodney McLeod),0.1,-1.31,6.0,2024,81
1.0,14:09,4.0,5.0,PHI 31,0.0,0.0,"Braden Mann punts 55 yards, returned by Jaelon Darden for 19 yards (tackle by Ben VanSumeren)",-1.31,-1.14,6.0,2024,81
1.0,13:57,1.0,10.0,CLE 33,0.0,0.0,Jerome Ford left guard for 3 yards (tackle by Zack Baun),1.14,1.0,6.0,2024,81
1.0,13:24,2.0,7.0,CLE 36,0.0,0.0,Deshaun Watson pass complete short left to David Njoku for 2 yards (tackle by Zack Baun),1.0,0.56,6.0,2024,81
1.0,12:57,3.0,5.0,CLE 38,0.0,0.0,Deshaun Watson pass incomplete short middle intended for Amari Cooper,0.56,-0.85,6.0,2024,81
1.0,12:52,4.0,5.0,CLE 38,0.0,0.0,"Corey Bojorquez punts 44 yards, returned by Cooper DeJean for 13 yards (tackle by D'Anthony Bell and Mike Ford)",-0.85,-1.0,6.0,2024,81
1.0,12:42,1.0,10.0,PHI 31,0.0,0.0,"Cam Jurgens aborted snap, recovered by Jalen Hurts at PHI-20 Jalen Hurts pass incomplete short right",1.0,0.46,6.0,2024,81
1.0,12:36,2.0,10.0,PHI 31,0.0,0.0,Jalen Hurts left tackle for 9 yards (tackle by Rodney McLeod),0.46,0.96,6.0,2024,81
1.0,12:06,3.0,1.0,PHI 40,0.0,0.0,Saquon Barkley right guard for no gain (tackle by Shelby Harris),0.96,-0.72,6.0,2024,81
1.0,11:28,4.0,1.0,PHI 40,0.0,0.0,Jalen Hurts left guard for 3 yards (tackle by Jeremiah Owusu-Koramoah),-0.72,1.8,6.0,2024,81
1.0,10:55,1.0,10.0,PHI 43,0.0,0.0,Saquon Barkley right guard for 4 yards (tackle by Maurice Hurst),1.8,1.79,6.0,2024,81
1.0,10:18,2.0,6.0,PHI 47,0.0,0.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,1.79,1.09,6.0,2024,81
1.0,10:14,3.0,6.0,PHI 47,0.0,0.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Denzel Ward),1.09,-0.26,6.0,2024,81
1.0,10:07,4.0,6.0,PHI 47,0.0,0.0,"Braden Mann punts 44 yards, returned by Jaelon Darden for 7 yards (tackle by Will Shipley)",-0.26,0.14,6.0,2024,81
1.0,9:57,1.0,10.0,CLE 16,0.0,0.0,Deshaun Watson sacked by Nolan Smith for no gain,-0.14,-0.66,6.0,2024,81
1.0,9:21,2.0,10.0,CLE 16,0.0,0.0,Jerome Ford right tackle for 11 yards (tackle by Josh Sweat),-0.66,0.74,6.0,2024,81
1.0,8:40,1.0,10.0,CLE 27,0.0,0.0,D'Onta Foreman right tackle for 4 yards (tackle by Josh Sweat),0.74,0.74,6.0,2024,81
1.0,8:06,2.0,6.0,CLE 31,0.0,0.0,Deshaun Watson pass complete short right to Jaelon Darden for 6 yards (tackle by C.J. Gardner-Johnson and Nolan Smith),0.74,1.4,6.0,2024,81
1.0,7:28,1.0,10.0,CLE 37,0.0,0.0,"Penalty on Jedrick Wills: False Start, 5 yards (accepted) (no play)",1.4,1.07,6.0,2024,81
1.0,7:18,1.0,15.0,CLE 32,0.0,0.0,Deshaun Watson pass complete short right to Amari Cooper for 14 yards (tackle by Reed Blankenship),1.07,2.07,6.0,2024,81
1.0,6:35,2.0,1.0,CLE 46,0.0,0.0,Pierre Strong right tackle for 4 yards (tackle by Nakobe Dean),2.07,2.26,6.0,2024,81
1.0,6:02,1.0,10.0,CLE 50,0.0,0.0,Pierre Strong left guard for 1 yard (tackle by Jordan Davis and Nakobe Dean),2.26,1.85,6.0,2024,81
