Quarter,Time,Down,ToGo,Location,CIN,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,,6.0,2024,91
1.0,15:00,,,NYG 35,0.0,0.0,"Greg Joseph kicks off 65 yards, returned by Charlie Jones for 31 yards (tackle by Ty Summers and Dane Belton)",0.0,1.0,6.0,2024,91
1.0,14:54,1.0,10.0,CIN 31,0.0,0.0,Chase Brown right end for 4 yards (tackle by Brian Burns),1.0,1.0,6.0,2024,91
1.0,14:23,2.0,6.0,CIN 35,0.0,0.0,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Bobby Okereke),1.0,0.3,6.0,2024,91
1.0,14:20,3.0,6.0,CIN 35,0.0,0.0,Joe Burrow scrambles up the middle for 10 yards (tackle by Tyler Nubin),0.3,1.93,6.0,2024,91
1.0,13:49,1.0,10.0,CIN 45,0.0,0.0,Zack Moss left guard for 5 yards (tackle by Dexter Lawrence and Rakeem Nunez-Roches),1.93,2.06,6.0,2024,91
1.0,13:13,2.0,5.0,CIN 50,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Deonte Banks),2.06,2.98,6.0,2024,91
1.0,12:34,1.0,10.0,NYG 39,0.0,0.0,Joe Burrow pass incomplete short right,2.98,2.44,6.0,2024,91
1.0,12:26,2.0,10.0,NYG 39,0.0,0.0,Joe Burrow sacked by Brian Burns for -8 yards,2.44,0.7,6.0,2024,91
1.0,11:41,,,,,,Timeout #1 by Cincinnati Bengals,,,6.0,2024,91
1.0,11:41,3.0,18.0,NYG 47,6.0,0.0,"Joe Burrow scrambles right end for 47 yards, touchdown",0.7,7.0,6.0,2024,91
1.0,11:32,,,NYG 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,6.0,2024,91
1.0,11:32,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,91
1.0,11:32,1.0,10.0,NYG 30,7.0,0.0,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Cam Taylor-Britt),0.94,1.66,6.0,2024,91
1.0,10:54,1.0,10.0,NYG 41,7.0,0.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,1.66,1.12,6.0,2024,91
1.0,10:51,2.0,10.0,NYG 41,7.0,0.0,Daniel Jones pass incomplete short right,1.12,0.43,6.0,2024,91
1.0,10:46,3.0,10.0,NYG 41,7.0,0.0,Daniel Jones pass complete short left to Jalin Hyatt for 6 yards (tackle by Cam Taylor-Britt),0.43,-0.26,6.0,2024,91
1.0,10:04,4.0,3.0,NYG 47,7.0,0.0,"Matt Haack punts 47 yards, returned by Charlie Jones for no gain (tackle by Casey Kreiter). Penalty on Maema Njongmeta: Offensive Holding, 3 yards (accepted)",-0.26,0.38,6.0,2024,91
1.0,9:50,1.0,10.0,CIN 3,7.0,0.0,Zack Moss left tackle for 1 yard (tackle by Deonte Banks and Brian Burns),-0.38,-0.71,6.0,2024,91
1.0,9:18,2.0,9.0,CIN 4,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Andru Phillips and Dane Belton),-0.71,-0.37,6.0,2024,91
1.0,8:34,3.0,1.0,CIN 12,7.0,0.0,Joe Burrow pass incomplete deep left,-0.37,-2.49,6.0,2024,91
1.0,8:25,,,,,,Timeout #1 by New York Giants,,,6.0,2024,91
1.0,8:25,4.0,1.0,CIN 12,7.0,0.0,"Ryan Rehkow punts 55 yards, returned by Ihmir Smith-Marsette for no gain (tackle by Tycen Anderson)",-2.49,-1.14,6.0,2024,91
1.0,8:16,1.0,10.0,NYG 33,7.0,0.0,Tyrone Tracy up the middle for 2 yards (tackle by B.J. Hill and Sheldon Rankins),1.14,0.86,6.0,2024,91
1.0,7:44,2.0,8.0,NYG 35,7.0,0.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Sam Hubbard),0.86,0.17,6.0,2024,91
1.0,7:39,3.0,8.0,NYG 35,7.0,0.0,"Daniel Jones sacked by Germaine Pratt for no gain. Penalty on DJ Turner: Defensive Holding, 5 yards (accepted) (no play)",0.17,1.6,6.0,2024,91
1.0,7:26,1.0,10.0,NYG 40,7.0,0.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Logan Wilson),1.6,2.0,6.0,2024,91
1.0,6:40,2.0,3.0,NYG 47,7.0,0.0,Tyrone Tracy right tackle for 1 yard (tackle by Sam Hubbard),2.0,1.42,6.0,2024,91
1.0,5:57,3.0,2.0,NYG 48,7.0,0.0,Daniel Jones pass complete short right to Darius Slayton for 9 yards (tackle by Mike Hilton),1.42,2.72,6.0,2024,91
1.0,5:22,1.0,10.0,CIN 43,7.0,0.0,Daniel Jones pass complete short left to Tyrone Tracy for 14 yards (tackle by Cam Taylor-Britt and Geno Stone),2.72,3.64,6.0,2024,91
1.0,4:41,1.0,10.0,CIN 29,7.0,0.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Logan Wilson),3.64,4.65,6.0,2024,91
1.0,4:04,1.0,10.0,CIN 14,7.0,0.0,Daniel Jones pass short middle is intercepted by Germaine Pratt at CIN-3 and returned for 24 yards (tackle by Jermaine Eluemunor and Daniel Bellinger),4.65,-0.74,6.0,2024,91
1.0,3:45,1.0,10.0,CIN 27,7.0,0.0,Joe Burrow pass complete short right to Chase Brown for 11 yards (tackle by Tyler Nubin and Jason Pinnock),0.74,1.47,6.0,2024,91
1.0,3:11,1.0,10.0,CIN 38,7.0,0.0,Chase Brown right guard for 7 yards (tackle by Tyler Nubin),1.47,1.87,6.0,2024,91
