Unnamed: 0,SFO,SEA,week,year,game_id
First Downs,21,22,6.0,2024,79
Rush-Yds-TDs,33-228-1,20-52-1,6.0,2024,79
Cmp-Att-Yd-TD-INT,18-28-255-3-0,30-52-312-1-2,6.0,2024,79
Sacked-Yards,0-0,1-6,6.0,2024,79
Net Pass Yards,255,306,6.0,2024,79
Total Yards,483,358,6.0,2024,79
Fumbles-Lost,0-0,2-1,6.0,2024,79
Turnovers,0,3,6.0,2024,79
Penalties-Yards,5-34,9-69,6.0,2024,79
Third Down Conv.,5-12,7-16,6.0,2024,79
Fourth Down Conv.,0-0,2-3,6.0,2024,79
Time of Possession,33:03,26:57,6.0,2024,79
