Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,6.0,2024,90
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,90
1.0,15:00,1.0,10.0,DAL 30,0.0,0.0,Rico Dowdle right tackle for 1 yard (tackle by Alex Anzalone and Alim McNeill),0.94,0.53,6.0,2024,90
1.0,14:28,2.0,9.0,DAL 31,0.0,0.0,Dak Prescott pass complete short right to Rico Dowdle for 15 yards (tackle by Brian Branch),0.53,1.99,6.0,2024,90
1.0,14:06,1.0,10.0,DAL 46,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 27 yards (tackle by Brian Branch),1.99,3.78,6.0,2024,90
1.0,13:25,1.0,10.0,DET 27,0.0,0.0,CeeDee Lamb left tackle for 2 yards (tackle by Amik Robertson and Jack Campbell),3.78,3.5,6.0,2024,90
1.0,12:54,2.0,8.0,DET 25,0.0,0.0,Dak Prescott pass complete short left to Rico Dowdle for 2 yards (tackle by Jack Campbell),3.5,3.07,6.0,2024,90
1.0,12:19,3.0,6.0,DET 23,0.0,0.0,"Dak Prescott pass deep middle is intercepted by Kerby Joseph at DET-6 and returned for no gain (tackle by Tyler Smith). Penalty on Alex Anzalone: Defensive Holding, 5 yards (accepted) (no play)",3.07,4.37,6.0,2024,90
1.0,12:08,1.0,10.0,DET 18,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 2 yards (tackle by Levi Onwuzurike),4.37,4.09,6.0,2024,90
1.0,11:34,2.0,8.0,DET 16,0.0,0.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Carlton Davis),4.09,3.3,6.0,2024,90
1.0,11:28,3.0,8.0,DET 16,0.0,0.0,"Dak Prescott pass incomplete short right. Penalty on Zack Martin: Offensive Holding, 10 yards (declined)",3.3,2.38,6.0,2024,90
1.0,11:24,4.0,8.0,DET 16,0.0,3.0,Brandon Aubrey 34 yard field goal good,2.38,3.0,6.0,2024,90
1.0,11:21,,,DAL 35,0.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,90
1.0,11:21,1.0,10.0,DET 30,0.0,3.0,David Montgomery left end for 5 yards (tackle by Trevon Diggs),0.94,1.07,6.0,2024,90
1.0,10:44,2.0,5.0,DET 35,0.0,3.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,1.07,0.37,6.0,2024,90
1.0,10:41,3.0,5.0,DET 35,0.0,3.0,Jared Goff pass complete deep right to Tim Patrick for 42 yards (tackle by Amani Oruwariye),0.37,4.04,6.0,2024,90
1.0,9:56,1.0,10.0,DAL 23,0.0,3.0,David Montgomery right tackle for 7 yards (tackle by Donovan Wilson and Osa Odighizuwa),4.04,4.56,6.0,2024,90
1.0,9:13,2.0,3.0,DAL 16,6.0,3.0,"David Montgomery left guard for 16 yards, touchdown",4.56,7.0,6.0,2024,90
1.0,9:06,,,DAL 15,7.0,3.0,Jake Bates kicks extra point good,0.0,0.0,6.0,2024,90
1.0,9:06,,,DET 35,7.0,3.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,90
1.0,9:06,1.0,10.0,DAL 30,7.0,3.0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Terrion Arnold),0.94,1.47,6.0,2024,90
1.0,8:33,2.0,2.0,DAL 38,7.0,3.0,Dak Prescott pass complete deep left to Jalen Tolbert for 26 yards (tackle by Terrion Arnold),1.47,3.18,6.0,2024,90
1.0,8:06,1.0,10.0,DET 36,7.0,3.0,Ezekiel Elliott left guard for 3 yards (tackle by Kyle Peko and Aidan Hutchinson),3.18,3.04,6.0,2024,90
1.0,7:33,2.0,7.0,DET 33,7.0,3.0,"Dak Prescott sacked by Aidan Hutchinson for no gain. Penalty on Jack Campbell: Defensive Holding, 5 yards (accepted) (no play)",3.04,3.71,6.0,2024,90
