Quarter,Time,Tm,Detail,CLE,PHI,week,year,game_id
2.0,13:02,Eagles,Jake Elliott 49 yard field goal,0,3,6.0,2024,81
,7:17,Eagles,A.J. Brown 22 yard pass from Jalen Hurts (Jake Elliott kick),0,10,6.0,2024,81
,1:58,Browns,Dustin Hopkins 43 yard field goal,3,10,6.0,2024,81
,0:14,Browns,Rodney McLeod 50 yard blocked field goal return (Dustin Hopkins kick),10,10,6.0,2024,81
3.0,2:50,Eagles,Jake Elliott 44 yard field goal,10,13,6.0,2024,81
4.0,9:49,Browns,Dustin Hopkins 49 yard field goal,13,13,6.0,2024,81
,7:54,Eagles,DeVonta Smith 45 yard pass from Jalen Hurts (Jake Elliott kick),13,20,6.0,2024,81
,3:54,Browns,Dustin Hopkins 31 yard field goal,16,20,6.0,2024,81
