Quarter,Time,Tm,Detail,CIN,NYG,week,year,game_id
1.0,11:32,Bengals,Joe Burrow 47 yard rush (Evan McPherson kick),7,0,6.0,2024,91
3.0,5:48,Giants,Tyrone Tracy Jr. 1 yard rush (Greg Joseph kick),7,7,6.0,2024,91
,0:41,Bengals,Evan McPherson 37 yard field goal,10,7,6.0,2024,91
4.0,1:52,Bengals,Chase Brown 30 yard rush (Evan McPherson kick),17,7,6.0,2024,91
