Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Panthers to receive the opening kickoff.",,,6.0,2024,89
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.. Penalty on Kevin King: Illegal Formation, 5 yards (accepted)",0.0,1.27,6.0,2024,89
1.0,15:00,1.0,10.0,CAR 35,0.0,0.0,Chuba Hubbard left end for 4 yards (tackle by DeAundre Alford),1.27,1.26,6.0,2024,89
1.0,14:22,2.0,6.0,CAR 39,0.0,0.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",1.26,0.59,6.0,2024,89
1.0,14:10,2.0,11.0,CAR 34,0.0,0.0,Chuba Hubbard up the middle for -2 yards (tackle by James Smith-Williams),0.59,-0.36,6.0,2024,89
1.0,13:31,3.0,13.0,CAR 32,0.0,0.0,Andy Dalton pass incomplete deep right intended for Xavier Legette,-0.36,-1.24,6.0,2024,89
1.0,13:23,4.0,13.0,CAR 32,0.0,0.0,"Johnny Hekker punts 47 yards, returned by Avery Williams for no gain (tackle by Lonnie Johnson)",-1.24,-0.34,6.0,2024,89
1.0,13:14,1.0,10.0,ATL 21,0.0,0.0,Bijan Robinson up the middle for 6 yards (tackle by Charles Harris and A'Shawn Robinson),0.34,0.61,6.0,2024,89
1.0,12:51,2.0,4.0,ATL 27,0.0,0.0,Kirk Cousins pass incomplete short right intended for Drake London,0.61,-0.1,6.0,2024,89
1.0,12:47,3.0,4.0,ATL 27,0.0,0.0,Kirk Cousins pass incomplete short left intended for Drake London,-0.1,-1.57,6.0,2024,89
1.0,12:43,4.0,4.0,ATL 27,0.0,0.0,"Bradley Pinion punts 52 yards, returned by Raheem Blackshear for 12 yards (tackle by Avery Williams and DeAngelo Malone)",-1.57,-1.14,6.0,2024,89
1.0,12:29,1.0,10.0,CAR 33,0.0,0.0,Andy Dalton pass incomplete short right intended for Chuba Hubbard (defended by Kaden Elliss),1.14,0.59,6.0,2024,89
1.0,12:23,2.0,10.0,CAR 33,0.0,0.0,Andy Dalton pass complete short middle to David Moore for 9 yards (tackle by DeAundre Alford and Jessie Bates),0.59,1.09,6.0,2024,89
1.0,12:04,3.0,1.0,CAR 42,0.0,0.0,Chuba Hubbard left guard for 3 yards (tackle by Nathan Landman),1.09,1.93,6.0,2024,89
1.0,11:21,1.0,10.0,CAR 45,0.0,0.0,"Penalty on Chandler Zavala: False Start, 5 yards (accepted) (no play)",1.93,1.6,6.0,2024,89
1.0,11:05,1.0,15.0,CAR 40,0.0,0.0,Andy Dalton pass complete short right to Chuba Hubbard for 3 yards (tackle by Mike Hughes),1.6,1.11,6.0,2024,89
1.0,10:26,2.0,12.0,CAR 43,0.0,0.0,Andy Dalton pass complete deep right to Diontae Johnson for 17 yards,1.11,2.92,6.0,2024,89
1.0,9:46,1.0,10.0,ATL 40,0.0,0.0,Andy Dalton pass complete deep middle to Diontae Johnson for 19 yards (tackle by Mike Hughes),2.92,4.17,6.0,2024,89
1.0,9:09,1.0,10.0,ATL 21,0.0,0.0,Chuba Hubbard left guard for 3 yards (tackle by Nathan Landman and Justin Simmons),4.17,4.04,6.0,2024,89
1.0,8:29,2.0,7.0,ATL 18,0.0,0.0,Andy Dalton pass incomplete short right intended for Ian Thomas (defended by Arnold Ebiketie),4.04,3.31,6.0,2024,89
1.0,8:24,3.0,7.0,ATL 18,0.0,0.0,"Penalty on Matt Judon: Defensive Offside, 5 yards (accepted) (no play)",3.31,4.24,6.0,2024,89
1.0,8:15,3.0,2.0,ATL 13,0.0,0.0,Miles Sanders left tackle for 2 yards (tackle by Justin Simmons),4.24,4.84,6.0,2024,89
1.0,7:38,1.0,10.0,ATL 11,0.0,0.0,Chuba Hubbard left tackle for -2 yards (tackle by Grady Jarrett and Arnold Ebiketie),4.84,3.83,6.0,2024,89
1.0,6:57,2.0,12.0,ATL 13,0.0,0.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",3.83,3.23,6.0,2024,89
1.0,6:40,2.0,17.0,ATL 18,0.0,0.0,Andy Dalton pass complete short left to David Moore for 8 yards (tackle by Grady Jarrett),3.23,3.3,6.0,2024,89
1.0,6:00,3.0,9.0,ATL 10,0.0,6.0,"Andy Dalton pass complete short middle to Diontae Johnson for 10 yards, touchdown",3.3,7.0,6.0,2024,89
1.0,5:56,,,ATL 15,0.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,6.0,2024,89
1.0,5:56,,,CAR 35,0.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,89
1.0,5:56,1.0,10.0,ATL 30,0.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 1 yard (tackle by Trevin Wallace and A'Shawn Robinson),0.94,0.53,6.0,2024,89
1.0,5:11,2.0,9.0,ATL 31,0.0,7.0,Kirk Cousins pass incomplete short right intended for Bijan Robinson (defended by Shy Tuttle),0.53,-0.16,6.0,2024,89
1.0,5:07,3.0,9.0,ATL 31,0.0,7.0,Kirk Cousins pass complete short left to Darnell Mooney for 12 yards (tackle by Troy Hill),-0.16,1.8,6.0,2024,89
1.0,4:24,1.0,10.0,ATL 43,0.0,7.0,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud (defended by Jaycee Horn),1.8,1.25,6.0,2024,89
1.0,4:18,2.0,10.0,ATL 43,0.0,7.0,Bijan Robinson left tackle for 5 yards (tackle by Jaycee Horn and Xavier Woods),1.25,1.22,6.0,2024,89
1.0,3:40,3.0,5.0,ATL 48,0.0,7.0,"Kirk Cousins pass incomplete short left intended for Darnell Mooney. Penalty on Jaycee Horn: Defensive Pass Interference, 14 yards (accepted) (no play)",1.22,3.05,6.0,2024,89
1.0,3:36,1.0,10.0,CAR 38,0.0,7.0,Tyler Allgeier right end for 7 yards (tackle by Troy Hill),3.05,3.45,6.0,2024,89
1.0,2:59,2.0,3.0,CAR 31,0.0,7.0,Tyler Allgeier up the middle for 9 yards (tackle by Troy Hill),3.45,4.11,6.0,2024,89
1.0,2:24,1.0,10.0,CAR 22,0.0,7.0,Tyler Allgeier right tackle for 9 yards (tackle by Xavier Woods),4.11,5.06,6.0,2024,89
1.0,1:54,2.0,1.0,CAR 13,0.0,7.0,Tyler Allgeier right end for 1 yard (tackle by Jaycee Horn),5.06,4.78,6.0,2024,89
1.0,1:13,1.0,10.0,CAR 12,0.0,7.0,Kirk Cousins pass incomplete short right intended for Darnell Mooney (defended by DJ Johnson),4.78,4.1,6.0,2024,89
1.0,1:04,2.0,10.0,CAR 12,0.0,7.0,Kirk Cousins pass complete short middle to Drake London for 7 yards (tackle by Troy Hill),4.1,4.61,6.0,2024,89
1.0,0:43,3.0,3.0,CAR 5,6.0,7.0,"Bijan Robinson left end for 5 yards, touchdown",4.61,7.0,6.0,2024,89
1.0,0:38,,,CAR 15,7.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,6.0,2024,89
1.0,0:38,,,ATL 35,7.0,7.0,"Bradley Pinion kicks off 59 yards, returned by Raheem Blackshear for 13 yards (tackle by Charlie Woerner). Penalty on Kevin King: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,1.2,6.0,2024,89
1.0,0:32,1.0,10.0,CAR 34,7.0,7.0,Andy Dalton left end for 2 yards (tackle by Mike Hughes),1.2,0.93,6.0,2024,89
2.0,15:00,2.0,8.0,CAR 36,7.0,7.0,Andy Dalton pass incomplete short middle intended for Ja'Tavion Sanders,0.93,0.23,6.0,2024,89
2.0,14:57,3.0,8.0,CAR 36,7.0,7.0,Andy Dalton pass complete short middle to Xavier Legette for 3 yards (tackle by Mike Hughes),0.23,-0.78,6.0,2024,89
