Unnamed: 0,IND,TEN,week,year,game_id
First Downs,20,16,6.0,2024,82
Rush-Yds-TDs,28-80-0,28-146-1,6.0,2024,82
Cmp-Att-Yd-TD-INT,22-38-189-2-1,16-27-95-1-1,6.0,2024,82
Sacked-Yards,0-0,0-0,6.0,2024,82
Net Pass Yards,189,95,6.0,2024,82
Total Yards,269,241,6.0,2024,82
Fumbles-Lost,0-0,1-0,6.0,2024,82
Turnovers,1,1,6.0,2024,82
Penalties-Yards,5-40,11-113,6.0,2024,82
Third Down Conv.,7-15,4-11,6.0,2024,82
Fourth Down Conv.,1-1,1-1,6.0,2024,82
Time of Possession,29:28,30:32,6.0,2024,82
