Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Broncos to receive the opening kickoff.",,,6.0,2024,87
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,87
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Javonte Williams right end for 1 yard (tackle by Cam Hart and Derwin James),0.94,0.53,6.0,2024,87
1.0,14:28,2.0,9.0,DEN 31,0.0,0.0,Javonte Williams left tackle for 1 yard (tackle by Otito Ogbonnia and Denzel Perryman),0.53,-0.03,6.0,2024,87
1.0,13:49,3.0,8.0,DEN 32,0.0,0.0,Bo Nix pass deep middle intended for Marvin Mims is intercepted by Elijah Molden at LAC-44 and returned for 25 yards (tackle by Quinn Meinerz),-0.03,-3.51,6.0,2024,87
1.0,13:37,1.0,10.0,DEN 31,0.0,0.0,"Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Justin Strnad) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Patrick Surtain)",3.51,2.97,6.0,2024,87
1.0,13:33,2.0,10.0,DEN 31,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Riley Moss),2.97,3.34,6.0,2024,87
1.0,12:46,3.0,2.0,DEN 23,0.0,0.0,Justin Herbert pass complete short middle to Quentin Johnston for 6 yards (tackle by Brandon Jones),3.34,4.44,6.0,2024,87
1.0,12:16,1.0,10.0,DEN 17,0.0,0.0,Justin Herbert pass complete short middle to Derius Davis for 8 yards (tackle by Riley Moss),4.44,5.29,6.0,2024,87
1.0,11:42,2.0,2.0,DEN 9,0.0,0.0,J.K. Dobbins up the middle for 4 yards (tackle by Jonathon Cooper),5.29,6.06,6.0,2024,87
1.0,11:07,1.0,5.0,DEN 5,0.0,0.0,Justin Herbert pass incomplete short right,6.06,5.15,6.0,2024,87
1.0,10:58,2.0,5.0,DEN 5,0.0,0.0,"Justin Herbert pass complete short left to Ladd McConkey for no gain (tackle by P.J. Locke). Penalty on Josh Palmer: Offensive Pass Interference, 10 yards (accepted) (no play)",5.15,3.46,6.0,2024,87
1.0,10:34,2.0,15.0,DEN 15,0.0,0.0,Justin Herbert pass complete short middle to J.K. Dobbins for 5 yards (tackle by Brandon Jones),3.46,3.13,6.0,2024,87
1.0,9:50,3.0,10.0,DEN 10,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 8 yards (tackle by Brandon Jones),3.13,3.25,6.0,2024,87
1.0,9:28,4.0,2.0,DEN 2,3.0,0.0,Cameron Dicker 20 yard field goal good,3.25,3.0,6.0,2024,87
1.0,9:26,,,LAC 35,3.0,0.0,"Cameron Dicker kicks off 62 yards, returned by Tremon Smith for 31 yards (tackle by Elijah Molden)",0.0,1.2,6.0,2024,87
1.0,9:19,1.0,10.0,DEN 34,3.0,0.0,Bo Nix pass complete short left to Jaleel McLaughlin for 6 yards (tackle by Alohi Gilman),1.2,1.47,6.0,2024,87
1.0,8:57,2.0,4.0,DEN 40,3.0,0.0,Jaleel McLaughlin left tackle for 3 yards (tackle by Teair Tart),1.47,1.16,6.0,2024,87
1.0,8:30,3.0,1.0,DEN 43,3.0,0.0,"Penalty on Garett Bolles: False Start, 5 yards (accepted) (no play)",1.16,0.5,6.0,2024,87
1.0,8:10,3.0,6.0,DEN 38,3.0,0.0,Bo Nix pass incomplete short right,0.5,-0.85,6.0,2024,87
1.0,7:59,4.0,6.0,DEN 38,3.0,0.0,"Riley Dixon punts 45 yards, fair catch by Derius Davis at LAC-17",-0.85,0.06,6.0,2024,87
1.0,7:52,1.0,10.0,LAC 17,3.0,0.0,Justin Herbert pass incomplete deep left intended for Derius Davis,-0.06,-0.58,6.0,2024,87
