Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,6.0,2024,82
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Joe Flacco pass incomplete deep left intended for Kylen Granson,0.94,0.39,6.0,2024,82
1.0,14:54,2.0,10.0,IND 30,0.0,0.0,Joe Flacco pass complete short right to Michael Pittman for 9 yards (tackle by L'Jarius Sneed and Ernest Jones),0.39,0.89,6.0,2024,82
1.0,14:16,3.0,1.0,IND 39,0.0,0.0,Trey Sermon right guard for 4 yards (tackle by Ernest Jones),0.89,1.8,6.0,2024,82
1.0,13:53,1.0,10.0,IND 43,0.0,0.0,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Quandre Diggs),1.8,1.93,6.0,2024,82
1.0,13:17,2.0,5.0,IND 48,0.0,0.0,Trey Sermon left tackle for 3 yards (tackle by Ernest Jones and Arden Key),1.93,1.62,6.0,2024,82
1.0,12:38,3.0,2.0,TEN 49,0.0,0.0,Trey Sermon right tackle for 5 yards (tackle by Quandre Diggs),1.62,2.65,6.0,2024,82
1.0,12:00,1.0,10.0,TEN 44,0.0,0.0,Joe Flacco pass incomplete deep right intended for Alec Pierce,2.65,2.11,6.0,2024,82
1.0,11:55,2.0,10.0,TEN 44,0.0,0.0,Joe Flacco pass incomplete deep right intended for Ashton Dulin,2.11,1.42,6.0,2024,82
1.0,11:50,3.0,10.0,TEN 44,0.0,0.0,Joe Flacco pass complete deep middle to Mo Alie-Cox for 22 yards (tackle by Quandre Diggs and Amani Hooker),1.42,4.11,6.0,2024,82
1.0,11:23,1.0,10.0,TEN 22,6.0,0.0,"Joe Flacco pass complete deep left to Josh Downs for 22 yards, touchdown",4.11,7.0,6.0,2024,82
1.0,11:17,,,TEN 15,7.0,0.0,Matt Gay kicks extra point good,0.0,0.0,6.0,2024,82
1.0,11:17,,,IND 35,7.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2024,82
1.0,11:17,1.0,10.0,TEN 25,7.0,0.0,Tony Pollard left tackle for 8 yards (tackle by Jaylon Carlies),0.61,1.14,6.0,2024,82
1.0,10:44,2.0,2.0,TEN 33,7.0,0.0,Will Levis pass complete short right to Tony Pollard for -2 yards (tackle by Zaire Franklin and E.J. Speed),1.14,0.17,6.0,2024,82
1.0,10:00,3.0,4.0,TEN 31,7.0,0.0,Will Levis pass complete short left to Chigoziem Okonkwo for 1 yard (tackle by Jaylon Jones),0.17,-1.24,6.0,2024,82
1.0,9:22,4.0,3.0,TEN 32,7.0,0.0,"Ryan Stonehouse punts 47 yards, returned by Josh Downs for 15 yards (tackle by Mike Brown)",-1.24,-1.33,6.0,2024,82
1.0,9:10,1.0,10.0,IND 36,7.0,0.0,Trey Sermon right tackle for no gain (tackle by Kenneth Murray and Harold Landry),1.33,0.79,6.0,2024,82
1.0,8:29,2.0,10.0,IND 36,7.0,0.0,Joe Flacco pass deep middle intended for Michael Pittman is intercepted by Amani Hooker at TEN-43 and returned for 30 yards (tackle by Trey Sermon),0.79,-3.78,6.0,2024,82
1.0,8:22,1.0,10.0,IND 27,7.0,0.0,Will Levis pass complete short left to Tyler Boyd for 8 yards (tackle by Jaylon Jones),3.78,4.35,6.0,2024,82
1.0,7:39,2.0,2.0,IND 19,7.0,0.0,Tony Pollard left tackle for 10 yards (tackle by Nick Cross),4.35,5.14,6.0,2024,82
1.0,6:55,,,,,,Timeout #1 by Tennessee Titans,,,6.0,2024,82
1.0,6:55,1.0,9.0,IND 9,7.0,6.0,"Will Levis pass complete short right to Nick Westbrook-Ikhine for 9 yards, touchdown",5.14,7.0,6.0,2024,82
1.0,6:51,,,IND 15,7.0,7.0,Nick Folk kicks extra point good,0.0,0.0,6.0,2024,82
1.0,6:51,,,TEN 35,7.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
1.0,6:51,1.0,10.0,IND 30,7.0,7.0,Joe Flacco pass complete short left to Tyler Goodson for -6 yards (tackle by Kenneth Murray),0.94,-0.42,6.0,2024,82
1.0,6:03,2.0,16.0,IND 24,7.0,7.0,Joe Flacco pass incomplete deep left,-0.42,-1.09,6.0,2024,82
1.0,6:00,3.0,16.0,IND 24,7.0,7.0,Joe Flacco pass complete short right to Tyler Goodson for 7 yards (tackle by Ernest Jones and T'Vondre Sweat),-1.09,-1.31,6.0,2024,82
1.0,5:21,4.0,9.0,IND 31,7.0,7.0,"Rigoberto Sanchez punts 49 yards, returned by Jha'Quan Jackson for -2 yards (tackle by Ashton Dulin)",-1.31,-0.04,6.0,2024,82
1.0,5:11,1.0,10.0,TEN 18,7.0,7.0,Will Levis scrambles up the middle for 3 yards (tackle by Kenny Moore),0.04,0.01,6.0,2024,82
1.0,4:28,2.0,7.0,TEN 21,7.0,7.0,Tyjae Spears right end for 10 yards (tackle by Nick Cross and Kenny Moore),0.01,1.0,6.0,2024,82
1.0,3:46,1.0,10.0,TEN 31,7.0,7.0,Tyjae Spears left guard for 3 yards (tackle by Jaylon Jones and Jaylon Carlies),1.0,0.87,6.0,2024,82
1.0,3:00,2.0,7.0,TEN 34,7.0,7.0,Will Levis pass complete short left to DeAndre Hopkins for 8 yards (tackle by Jaylon Jones),0.87,1.73,6.0,2024,82
1.0,2:18,1.0,10.0,TEN 42,7.0,7.0,Tyjae Spears left guard for 3 yards (tackle by Taven Bryan),1.73,1.59,6.0,2024,82
1.0,1:38,2.0,7.0,TEN 45,7.0,7.0,Will Levis scrambles left end for 7 yards (tackle by Jaylon Jones),1.59,2.39,6.0,2024,82
1.0,0:43,1.0,10.0,IND 48,7.0,7.0,Tony Pollard left guard for 1 yard (tackle by Adam Gotsis and Jaylon Jones),2.39,1.98,6.0,2024,82
2.0,15:00,2.0,9.0,IND 47,7.0,7.0,"Penalty on Leroy Watson: False Start, 5 yards (accepted) (no play)",1.98,1.31,6.0,2024,82
2.0,15:00,2.0,14.0,TEN 48,7.0,7.0,Will Levis pass incomplete short left intended for Calvin Ridley (defended by Grover Stewart),1.31,0.63,6.0,2024,82
2.0,14:56,3.0,14.0,TEN 48,7.0,7.0,"Will Levis pass incomplete deep left intended for DeAndre Hopkins. Penalty on Jaylon Jones: Illegal Contact, 5 yards (accepted) (no play)",0.63,2.46,6.0,2024,82
2.0,14:50,1.0,10.0,IND 47,7.0,7.0,Tyjae Spears right tackle for 6 yards (tackle by Jaylon Carlies and Grover Stewart),2.46,2.72,6.0,2024,82
2.0,14:07,2.0,4.0,IND 41,7.0,7.0,Tyjae Spears right end for 1 yard (tackle by Grover Stewart),2.72,2.15,6.0,2024,82
2.0,13:36,3.0,3.0,IND 40,7.0,7.0,Tony Pollard up the middle for 7 yards (tackle by E.J. Speed),2.15,3.38,6.0,2024,82
2.0,12:53,1.0,10.0,IND 33,7.0,7.0,Tony Pollard right tackle for 3 yards (tackle by Zaire Franklin),3.38,3.24,6.0,2024,82
2.0,12:02,2.0,7.0,IND 30,7.0,7.0,Tony Pollard up the middle for 4 yards (tackle by Nick Cross and Zaire Franklin),3.24,3.07,6.0,2024,82
2.0,11:20,3.0,3.0,IND 26,7.0,7.0,Will Levis pass incomplete deep right intended for Calvin Ridley (defended by Raekwon Davis),3.07,1.84,6.0,2024,82
2.0,11:13,4.0,3.0,IND 26,7.0,10.0,Nick Folk 44 yard field goal good,1.84,3.0,6.0,2024,82
2.0,11:09,,,TEN 35,7.0,10.0,"Nick Folk kicks off 67 yards, returned by Tyler Goodson for 27 yards (tackle by Darrell Baker). Penalty on Grant Stuard: Offensive Holding, 10 yards (accepted)",0.0,-0.22,6.0,2024,82
2.0,11:02,1.0,10.0,IND 15,7.0,10.0,Trey Sermon right guard for 4 yards (tackle by Kenneth Murray),-0.22,-0.11,6.0,2024,82
2.0,10:27,2.0,6.0,IND 19,7.0,10.0,Trey Sermon left tackle for -1 yards (tackle by Jeffery Simmons),-0.11,-1.0,6.0,2024,82
2.0,9:48,3.0,7.0,IND 18,7.0,10.0,Joe Flacco pass complete short left to Andrew Ogletree for 22 yards (tackle by Amani Hooker),-1.0,1.6,6.0,2024,82
2.0,9:13,1.0,10.0,IND 40,7.0,10.0,Trey Sermon left guard for no gain (tackle by Jeffery Simmons),1.6,1.05,6.0,2024,82
2.0,8:38,2.0,10.0,IND 40,7.0,10.0,Joe Flacco pass incomplete short right intended for Alec Pierce (defended by Jarvis Brownlee),1.05,0.37,6.0,2024,82
2.0,8:25,3.0,10.0,IND 40,7.0,10.0,Joe Flacco pass complete short right to Adonai Mitchell for no gain (tackle by Jarvis Brownlee),0.37,-0.72,6.0,2024,82
2.0,7:42,4.0,10.0,IND 40,7.0,10.0,"Rigoberto Sanchez punts 60 yards, touchback.",-0.72,-0.28,6.0,2024,82
2.0,7:35,1.0,10.0,TEN 20,7.0,10.0,Will Levis pass complete short left to Tony Pollard for -4 yards (tackle by Nick Cross),0.28,-0.94,6.0,2024,82
2.0,6:51,2.0,14.0,TEN 16,7.0,10.0,Will Levis pass complete deep left to DeAndre Hopkins for 23 yards (tackle by Julian Blackmon),-0.94,1.53,6.0,2024,82
2.0,6:12,1.0,10.0,TEN 39,7.0,10.0,"Tony Pollard for no gain. Penalty on Peter Skoronski: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,6.0,2024,82
2.0,5:38,1.0,20.0,TEN 29,7.0,10.0,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,0.87,-0.36,6.0,2024,82
2.0,5:33,,,,,,Timeout #2 by Tennessee Titans,,,6.0,2024,82
2.0,5:33,2.0,20.0,TEN 29,7.0,10.0,Will Levis scrambles up the middle for 5 yards (tackle by Kwity Paye),-0.36,-0.36,6.0,2024,82
2.0,4:43,3.0,15.0,TEN 34,7.0,10.0,"Penalty on Will Levis: Delay of Game, 5 yards (accepted) (no play)",-0.36,-1.02,6.0,2024,82
2.0,4:28,3.0,20.0,TEN 29,7.0,10.0,Will Levis pass complete short middle to DeAndre Hopkins for 7 yards (tackle by Zaire Franklin),-1.02,-0.98,6.0,2024,82
2.0,3:50,4.0,13.0,TEN 36,7.0,10.0,"Ryan Stonehouse punts 58 yards, returned by Josh Downs for 23 yards (tackle by Josh Whyle and Luke Gifford)",-0.98,-0.87,6.0,2024,82
2.0,3:39,1.0,10.0,IND 29,7.0,10.0,Trey Sermon up the middle for 11 yards (tackle by Quandre Diggs and Ernest Jones),0.87,1.6,6.0,2024,82
2.0,3:14,1.0,10.0,IND 40,7.0,10.0,Trey Sermon left guard for -3 yards (tackle by Harold Landry),1.6,0.65,6.0,2024,82
