Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Steelers to receive the opening kickoff.",,,6.0,2024,88
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 62 yards, returned by Jaylen Warren for 26 yards (tackle by Thomas Harper and Dylan Laube)",0.0,0.87,6.0,2024,88
1.0,14:54,1.0,10.0,PIT 29,0.0,0.0,Justin Fields pass complete short middle to Najee Harris for 11 yards (tackle by Tre'von Moehrig),0.87,1.6,6.0,2024,88
1.0,14:22,1.0,10.0,PIT 40,0.0,0.0,Najee Harris up the middle for 13 yards (tackle by Divine Deablo and Isaiah Pola-Mao),1.6,2.46,6.0,2024,88
1.0,13:49,1.0,10.0,LVR 47,0.0,0.0,Najee Harris right tackle for 1 yard (tackle by Charles Snowden and Adam Butler),2.46,2.05,6.0,2024,88
1.0,13:22,2.0,9.0,LVR 46,0.0,0.0,Justin Fields pass complete short left to Pat Freiermuth for 8 yards (tackle by Robert Spillane and Nate Hobbs),2.05,2.41,6.0,2024,88
1.0,12:42,3.0,1.0,LVR 38,0.0,0.0,Jaylen Warren left end for 1 yard (tackle by Charles Snowden and Nate Hobbs),2.41,3.12,6.0,2024,88
1.0,12:06,1.0,10.0,LVR 37,0.0,0.0,Jaylen Warren right end for -2 yards (tackle by Tre'von Moehrig),3.12,2.3,6.0,2024,88
1.0,11:32,2.0,12.0,LVR 39,0.0,0.0,Justin Fields pass complete short right to Jaylen Warren for -3 yards (tackle by Divine Deablo and Matthew Butler),2.3,1.22,6.0,2024,88
1.0,11:00,3.0,15.0,LVR 42,0.0,0.0,Justin Fields pass complete short right to Jaylen Warren for 8 yards (tackle by Isaiah Pola-Mao),1.22,1.06,6.0,2024,88
1.0,10:24,4.0,7.0,LVR 34,3.0,0.0,Chris Boswell 52 yard field goal good,1.06,3.0,6.0,2024,88
1.0,10:19,,,PIT 35,3.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,88
1.0,10:19,1.0,10.0,LVR 30,3.0,0.0,Aidan O'Connell pass complete short left to Harrison Bryant for 8 yards (tackle by Patrick Queen and Jeremiah Moon),0.94,1.47,6.0,2024,88
1.0,9:45,2.0,2.0,LVR 38,3.0,0.0,Alexander Mattison left guard for 4 yards (tackle by Patrick Queen and Larry Ogunjobi),1.47,1.73,6.0,2024,88
1.0,9:03,1.0,10.0,LVR 42,3.0,0.0,Alexander Mattison up the middle for 7 yards (tackle by T.J. Watt and Elandon Roberts),1.73,2.13,6.0,2024,88
1.0,8:26,2.0,3.0,LVR 49,3.0,0.0,Alexander Mattison up the middle for 3 yards (tackle by Patrick Queen and Cameron Heyward),2.13,2.39,6.0,2024,88
1.0,7:46,1.0,10.0,PIT 48,3.0,0.0,Aidan O'Connell pass complete short middle to Brock Bowers for 10 yards (tackle by Joey Porter),2.39,3.05,6.0,2024,88
1.0,7:05,1.0,10.0,PIT 38,3.0,0.0,Aidan O'Connell pass complete short left to Brock Bowers for 8 yards (tackle by DeShon Elliott),3.05,3.59,6.0,2024,88
1.0,6:28,2.0,2.0,PIT 30,3.0,0.0,Alexander Mattison left end for 9 yards (tackle by Elandon Roberts),3.59,4.17,6.0,2024,88
1.0,5:51,1.0,10.0,PIT 21,3.0,0.0,Aidan O'Connell pass complete short right to Alexander Mattison for 19 yards (tackle by Minkah Fitzpatrick),4.17,6.74,6.0,2024,88
1.0,5:06,1.0,2.0,PIT 2,3.0,0.0,Alexander Mattison right guard for -1 yards (tackle by Elandon Roberts),6.74,5.53,6.0,2024,88
1.0,4:28,2.0,3.0,PIT 3,3.0,6.0,"Alexander Mattison up the middle for 3 yards, touchdown",5.53,7.0,6.0,2024,88
1.0,4:24,,,PIT 15,3.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,6.0,2024,88
1.0,4:24,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,88
1.0,4:24,1.0,10.0,PIT 30,3.0,7.0,"Penalty on Connor Heyward: False Start, 5 yards (accepted) (no play)",0.94,0.61,6.0,2024,88
1.0,4:24,1.0,15.0,PIT 25,3.0,7.0,Najee Harris up the middle for -5 yards (tackle by Tre'von Moehrig and Jonah Laulu),0.61,-0.96,6.0,2024,88
1.0,3:48,2.0,20.0,PIT 20,3.0,7.0,Justin Fields pass complete short middle to Pat Freiermuth for 8 yards (tackle by Robert Spillane and Divine Deablo),-0.96,-0.56,6.0,2024,88
1.0,3:02,3.0,12.0,PIT 28,3.0,7.0,Justin Fields pass incomplete short right intended for George Pickens (defended by Jack Jones),-0.56,-1.5,6.0,2024,88
1.0,2:57,4.0,12.0,PIT 28,3.0,7.0,"Corliss Waitman punts 47 yards, returned by Ameer Abdullah for no gain (tackle by Terrell Edmunds)",-1.5,-0.61,6.0,2024,88
1.0,2:48,1.0,10.0,LVR 25,3.0,7.0,Aidan O'Connell pass complete short right to Ameer Abdullah for -1 yards (tackle by Patrick Queen),0.61,-0.07,6.0,2024,88
1.0,2:05,2.0,11.0,LVR 24,3.0,7.0,Aidan O'Connell pass incomplete short middle intended for Harrison Bryant (defended by Keeanu Benton),-0.07,-0.76,6.0,2024,88
1.0,2:01,3.0,11.0,LVR 24,3.0,7.0,Ameer Abdullah up the middle for 7 yards (tackle by Terrell Edmunds),-0.76,-1.31,6.0,2024,88
1.0,1:18,4.0,4.0,LVR 31,3.0,7.0,AJ Cole punts 43 yards out of bounds,-1.31,-0.67,6.0,2024,88
1.0,1:12,1.0,10.0,PIT 26,3.0,7.0,Justin Fields pass incomplete deep left intended for George Pickens (defended by Jakorian Bennett),0.67,0.13,6.0,2024,88
1.0,1:07,2.0,10.0,PIT 26,3.0,7.0,Justin Fields scrambles up the middle for 14 yards (tackle by Robert Spillane),0.13,1.6,6.0,2024,88
1.0,0:33,1.0,10.0,PIT 40,3.0,7.0,Jaylen Warren up the middle for 2 yards (tackle by Robert Spillane and Nate Hobbs),1.6,1.32,6.0,2024,88
2.0,15:00,2.0,8.0,PIT 42,3.0,7.0,"Justin Fields scrambles left end for no gain (tackle by K'Lavon Chaisson). Penalty on Broderick Jones: Offensive Holding, 10 yards (accepted) (no play)",1.32,-0.03,6.0,2024,88
2.0,14:43,2.0,18.0,PIT 32,3.0,7.0,Justin Fields pass complete short left to George Pickens for 15 yards (tackle by Jakorian Bennett),-0.03,1.29,6.0,2024,88
2.0,14:02,3.0,3.0,PIT 47,3.0,7.0,Justin Fields pass complete short right to George Pickens for 7 yards (tackle by Jack Jones),1.29,2.52,6.0,2024,88
2.0,13:19,1.0,10.0,LVR 46,3.0,7.0,Najee Harris left guard for 15 yards (tackle by Tre'von Moehrig and Jack Jones),2.52,3.51,6.0,2024,88
2.0,12:35,1.0,10.0,LVR 31,3.0,7.0,Justin Fields pass incomplete deep left intended for George Pickens,3.51,2.97,6.0,2024,88
2.0,12:29,2.0,10.0,LVR 31,3.0,7.0,Justin Fields pass incomplete short left intended for Pat Freiermuth,2.97,2.28,6.0,2024,88
2.0,12:22,3.0,10.0,LVR 31,3.0,7.0,Justin Fields pass incomplete deep right intended for George Pickens,2.28,1.32,6.0,2024,88
2.0,12:17,4.0,10.0,LVR 31,6.0,7.0,Chris Boswell 49 yard field goal good,1.32,3.0,6.0,2024,88
2.0,12:12,,,PIT 35,6.0,7.0,"Chris Boswell kicks off 66 yards, returned by Ameer Abdullah for 31 yards (tackle by Jeremiah Moon)",0.0,0.94,6.0,2024,88
2.0,12:05,1.0,10.0,LVR 30,6.0,7.0,Aidan O'Connell pass incomplete short right,0.94,0.39,6.0,2024,88
