Unnamed: 0,ARI,GNB,week,year,game_id
First Downs,16,27,6.0,2024,83
Rush-Yds-TDs,23-89-0,38-179-0,6.0,2024,83
Cmp-Att-Yd-TD-INT,22-32-214-1-0,22-32-258-4-1,6.0,2024,83
Sacked-Yards,0-0,0-0,6.0,2024,83
Net Pass Yards,214,258,6.0,2024,83
Total Yards,303,437,6.0,2024,83
Fumbles-Lost,3-3,0-0,6.0,2024,83
Turnovers,3,1,6.0,2024,83
Penalties-Yards,13-100,5-40,6.0,2024,83
Third Down Conv.,4-10,7-12,6.0,2024,83
Fourth Down Conv.,0-0,1-1,6.0,2024,83
Time of Possession,23:25,36:35,6.0,2024,83
