Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Bears to receive the opening kickoff.",,,6.0,2024,80
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback.. Penalty on Daniel Hardy: Illegal Formation, 5 yards (accepted)",0.0,0.61,6.0,2024,80
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,D'Andre Swift right tackle for 2 yards (tackle by Montaric Brown and Ventrell Miller),0.61,0.33,6.0,2024,80
1.0,14:23,2.0,8.0,CHI 27,0.0,0.0,D'Andre Swift left end for 3 yards (tackle by Chad Muma),0.33,0.04,6.0,2024,80
1.0,13:46,3.0,5.0,CHI 30,0.0,0.0,Caleb Williams sacked by Roy Robertson-Harris for -1 yards,0.04,-1.44,6.0,2024,80
1.0,13:04,4.0,6.0,CHI 29,0.0,0.0,"Tory Taylor punts 64 yards, returned by Parker Washington for 14 yards (tackle by Tarvarius Moore)",-1.44,-0.34,6.0,2024,80
1.0,12:49,1.0,10.0,JAX 21,0.0,0.0,Trevor Lawrence pass complete short left to Brian Thomas for 8 yards (tackle by Jaylon Jones),0.34,0.88,6.0,2024,80
1.0,12:25,2.0,2.0,JAX 29,0.0,0.0,Travis Etienne up the middle for no gain (tackle by Kyler Gordon),0.88,0.17,6.0,2024,80
1.0,11:35,3.0,2.0,JAX 29,0.0,0.0,Trevor Lawrence pass complete short right to Gabriel Davis for 5 yards (tackle by Jaylon Johnson),0.17,1.2,6.0,2024,80
1.0,10:59,1.0,10.0,JAX 34,0.0,0.0,Tank Bigsby left end for 2 yards (tackle by DeMarcus Walker and Montez Sweat),1.2,0.93,6.0,2024,80
1.0,10:20,2.0,8.0,JAX 36,0.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 14 yards (tackle by T.J. Edwards and Tremaine Edmunds),0.93,2.26,6.0,2024,80
1.0,9:37,1.0,10.0,CHI 50,0.0,0.0,Trevor Lawrence scrambles right end for 10 yards (tackle by Jaylon Jones),2.26,2.92,6.0,2024,80
1.0,8:56,1.0,10.0,CHI 40,0.0,0.0,Trevor Lawrence pass complete short left to Brian Thomas for 13 yards (tackle by Austin Booker and Elijah Hicks),2.92,3.78,6.0,2024,80
1.0,8:18,1.0,10.0,CHI 27,0.0,0.0,Tank Bigsby left tackle for 8 yards (tackle by Byron Cowart and Tremaine Edmunds),3.78,4.35,6.0,2024,80
1.0,7:36,2.0,2.0,CHI 19,0.0,0.0,Tank Bigsby left tackle for 1 yard (tackle by Gervon Dexter),4.35,3.84,6.0,2024,80
1.0,6:58,3.0,1.0,CHI 18,0.0,0.0,"Penalty on Walker Little: False Start, 4 yards (accepted) (no play)",3.84,3.2,6.0,2024,80
1.0,6:31,3.0,5.0,CHI 22,0.0,0.0,Trevor Lawrence pass complete short middle to Christian Kirk for 14 yards (tackle by Jaylon Jones and Kevin Byard),3.2,5.37,6.0,2024,80
1.0,5:49,1.0,8.0,CHI 8,0.0,0.0,"Penalty on Gabriel Davis: False Start, 5 yards (accepted) (no play)",5.37,4.53,6.0,2024,80
1.0,5:29,1.0,13.0,CHI 13,0.0,0.0,D'Ernest Johnson up the middle for 1 yard (tackle by Montez Sweat and Kyler Gordon),4.53,3.86,6.0,2024,80
1.0,4:51,2.0,12.0,CHI 12,0.0,0.0,Trevor Lawrence pass incomplete short left,3.86,3.1,6.0,2024,80
1.0,4:45,3.0,12.0,CHI 12,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Gabriel Davis (defended by Elijah Hicks),3.1,2.63,6.0,2024,80
1.0,4:40,4.0,12.0,CHI 12,3.0,0.0,Cam Little 30 yard field goal good,2.63,3.0,6.0,2024,80
1.0,4:37,,,JAX 35,3.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,80
1.0,4:37,1.0,10.0,CHI 30,3.0,0.0,Caleb Williams pass complete short right to Cole Kmet for 5 yards (tackle by Ventrell Miller),0.94,1.07,6.0,2024,80
1.0,4:08,2.0,5.0,CHI 35,3.0,0.0,Caleb Williams pass complete short left to D.J. Moore for -2 yards (tackle by Devin Lloyd),1.07,0.1,6.0,2024,80
1.0,3:19,,,,,,Timeout #1 by Chicago Bears,,,6.0,2024,80
1.0,3:19,3.0,7.0,CHI 33,3.0,0.0,Caleb Williams pass incomplete short right intended for Roschon Johnson,0.1,-1.18,6.0,2024,80
1.0,3:16,4.0,7.0,CHI 33,3.0,0.0,"Tory Taylor punts 59 yards, returned by Parker Washington for 13 yards (tackle by Noah Sewell)",-1.18,-0.34,6.0,2024,80
1.0,3:04,1.0,10.0,JAX 21,3.0,0.0,Travis Etienne left tackle for -2 yards (tackle by Kyler Gordon),0.34,-0.53,6.0,2024,80
1.0,2:28,2.0,12.0,JAX 19,3.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 16 yards (tackle by Kevin Byard),-0.53,1.27,6.0,2024,80
1.0,1:50,1.0,10.0,JAX 35,3.0,0.0,Travis Etienne right end for 1 yard (tackle by T.J. Edwards),1.27,0.86,6.0,2024,80
1.0,1:12,2.0,9.0,JAX 36,3.0,0.0,Trevor Lawrence sacked by and Byron Cowart for -2 yards and Montez Sweat for -2 yards,0.86,-0.1,6.0,2024,80
1.0,0:35,3.0,11.0,JAX 34,3.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 9 yards (tackle by Kyler Gordon and Jaylon Johnson),-0.1,-0.52,6.0,2024,80
2.0,15:00,4.0,2.0,JAX 43,3.0,0.0,"Penalty on Tim Jones: False Start, 5 yards (accepted) (no play)",-0.52,-0.85,6.0,2024,80
2.0,15:00,4.0,7.0,JAX 38,3.0,0.0,"Logan Cooke punts 43 yards, fair catch by DeAndre Carter at CHI-19",-0.85,-0.15,6.0,2024,80
2.0,14:53,1.0,10.0,CHI 19,3.0,0.0,D'Andre Swift left tackle for 12 yards (tackle by Ventrell Miller),0.15,1.0,6.0,2024,80
2.0,14:23,1.0,10.0,CHI 31,3.0,0.0,"Caleb Williams pass incomplete deep right intended for Rome Odunze. Penalty on Darnell Savage: Defensive Pass Interference, 4 yards (accepted) (no play)",1.0,1.27,6.0,2024,80
2.0,14:16,1.0,10.0,CHI 35,3.0,0.0,D'Andre Swift left tackle for 3 yards (tackle by Ventrell Miller),1.27,1.13,6.0,2024,80
2.0,13:50,2.0,7.0,CHI 38,3.0,0.0,Caleb Williams right end for 10 yards (tackle by Ronald Darby),1.13,2.13,6.0,2024,80
2.0,13:23,1.0,10.0,CHI 48,3.0,0.0,D'Andre Swift up the middle for 6 yards (tackle by Andre Cisco),2.13,2.39,6.0,2024,80
2.0,12:48,2.0,4.0,JAX 46,3.0,0.0,D'Andre Swift left tackle for -2 yards (tackle by DaVon Hamilton),2.39,1.42,6.0,2024,80
