Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,6.0,2024,79
1.0,15:00,,,SFO 35,0.0,0.0,"Matthew Wright kicks off 59 yards, returned by Laviska Shenault for 30 yards (tackle by Darrell Luter and Robert Beal)",0.0,1.33,6.0,2024,79
1.0,14:53,1.0,10.0,SEA 36,0.0,0.0,Kenneth Walker left guard for 3 yards (tackle by Maliek Collins),1.33,1.2,6.0,2024,79
1.0,14:15,2.0,7.0,SEA 39,0.0,0.0,Kenneth Walker left guard for 1 yard (tackle by Nick Bosa and Leonard Floyd),1.2,0.63,6.0,2024,79
1.0,13:33,3.0,6.0,SEA 40,0.0,0.0,Geno Smith pass complete short middle to D.K. Metcalf for 30 yards (tackle by Renardo Green),0.63,3.58,6.0,2024,79
1.0,12:54,1.0,10.0,SFO 30,0.0,0.0,Zach Charbonnet up the middle for 4 yards (tackle by Ji'Ayir Brown and Fred Warner),3.58,3.57,6.0,2024,79
1.0,12:18,2.0,6.0,SFO 26,0.0,0.0,Kenneth Walker right end for 1 yard (tackle by Deommodore Lenoir and Evan Anderson),3.57,3.01,6.0,2024,79
1.0,11:34,3.0,5.0,SFO 25,0.0,0.0,Geno Smith pass deep right intended for Tyler Lockett is intercepted by Malik Mustapha at SF-2 and returned for 1 yard,3.01,0.38,6.0,2024,79
1.0,11:26,1.0,10.0,SFO 3,0.0,0.0,Jordan Mason up the middle for 1 yard (tackle by Johnathan Hankins and Jerome Baker),-0.38,-0.71,6.0,2024,79
1.0,10:50,2.0,9.0,SFO 4,0.0,0.0,Brock Purdy scrambles up the middle for 7 yards (tackle by Tyrel Dodson),-0.71,-0.48,6.0,2024,79
1.0,10:12,3.0,2.0,SFO 11,0.0,0.0,Brock Purdy scrambles left end for 3 yards (tackle by Leonard Williams),-0.48,-0.28,6.0,2024,79
1.0,9:32,1.0,10.0,SFO 14,0.0,0.0,Jordan Mason left guard for 4 yards (tackle by Julian Love),-0.28,-0.21,6.0,2024,79
1.0,8:50,2.0,6.0,SFO 18,0.0,0.0,Deebo Samuel left end for 5 yards (tackle by Johnathan Hankins and K'Von Wallace),-0.21,-0.32,6.0,2024,79
1.0,8:03,3.0,1.0,SFO 23,0.0,0.0,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Tre Brown and Julian Love),-0.32,1.2,6.0,2024,79
1.0,7:17,1.0,10.0,SFO 34,0.0,0.0,Jordan Mason left guard for 38 yards (tackle by Boye Mafe),1.2,3.71,6.0,2024,79
1.0,6:25,1.0,10.0,SEA 28,0.0,0.0,Deebo Samuel right guard for 5 yards (tackle by Julian Love),3.71,3.84,6.0,2024,79
