Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1.0,Baltimore Ravens,17.0,280.0,5123.0,1109.0,4.6,31.0,13.0,306.0,384.0,634.0,3263.0,18.0,18.0,4.7,175.0,415.0,1860.0,6.0,4.5,96.0,106.0,841.0,35.0,28.7,14.4,113.76
2.0,Kansas City Chiefs,17.0,294.0,4926.0,1045.0,4.7,17.0,9.0,300.0,340.0,556.0,3001.0,19.0,8.0,4.9,169.0,432.0,1925.0,10.0,4.5,107.0,73.0,604.0,24.0,28.5,9.5,35.54
3.0,San Francisco 49ers,17.0,298.0,5167.0,1038.0,5.0,28.0,6.0,319.0,410.0,621.0,3642.0,20.0,22.0,5.4,190.0,369.0,1525.0,10.0,4.1,97.0,94.0,762.0,32.0,33.9,15.5,-7.76
4.0,Buffalo Bills,17.0,311.0,5222.0,1015.0,5.1,30.0,12.0,313.0,363.0,552.0,3342.0,18.0,18.0,5.5,183.0,409.0,1880.0,14.0,4.6,96.0,99.0,753.0,34.0,32.0,16.0,5.71
5.0,Dallas Cowboys,17.0,315.0,5095.0,1014.0,5.0,26.0,9.0,311.0,308.0,509.0,3185.0,21.0,17.0,5.7,166.0,459.0,1910.0,14.0,4.2,108.0,104.0,934.0,37.0,32.0,14.6,4.29
6.0,Pittsburgh Steelers,17.0,324.0,5816.0,1074.0,5.4,27.0,11.0,311.0,348.0,573.0,3860.0,23.0,16.0,6.2,186.0,454.0,1956.0,9.0,4.3,95.0,90.0,741.0,30.0,33.7,14.2,-3.91
7.0,Tampa Bay Buccaneers,17.0,325.0,5852.0,1081.0,5.4,26.0,13.0,337.0,404.0,611.0,4232.0,23.0,13.0,6.4,213.0,422.0,1620.0,11.0,3.8,101.0,93.0,762.0,23.0,34.4,14.2,-29.99
8.0,New Orleans Saints,17.0,327.0,5562.0,1054.0,5.3,29.0,11.0,300.0,333.0,558.0,3524.0,22.0,18.0,6.0,167.0,462.0,2038.0,10.0,4.4,100.0,102.0,775.0,33.0,31.6,14.3,35.39
9.0,Las Vegas Raiders,17.0,331.0,5625.0,1089.0,5.2,22.0,9.0,330.0,376.0,564.0,3610.0,21.0,13.0,5.9,187.0,479.0,2015.0,15.0,4.2,117.0,96.0,861.0,26.0,33.0,11.4,-22.59
10.0,Green Bay Packers,17.0,350.0,5696.0,1061.0,5.4,18.0,11.0,340.0,342.0,523.0,3515.0,21.0,7.0,6.2,189.0,493.0,2181.0,15.0,4.4,120.0,95.0,907.0,31.0,38.7,9.8,-84.9
11.0,Houston Texans,17.0,353.0,5622.0,1079.0,5.2,24.0,10.0,332.0,382.0,565.0,3979.0,17.0,14.0,6.5,185.0,468.0,1643.0,19.0,3.5,110.0,100.0,805.0,37.0,34.7,11.1,-35.92
12.0,New York Jets,17.0,355.0,4969.0,1087.0,4.6,27.0,10.0,298.0,313.0,522.0,2861.0,19.0,17.0,5.0,150.0,517.0,2108.0,14.0,4.1,111.0,93.0,780.0,37.0,31.8,11.8,75.84
13.0,Minnesota Vikings,17.0,362.0,5664.0,1095.0,5.2,22.0,11.0,328.0,426.0,606.0,3986.0,23.0,11.0,6.1,208.0,446.0,1678.0,14.0,3.8,104.0,111.0,916.0,16.0,37.1,11.3,-37.62
14.0,Cleveland Browns,17.0,362.0,4593.0,1004.0,4.6,28.0,10.0,254.0,307.0,535.0,2800.0,23.0,18.0,4.8,136.0,420.0,1793.0,15.0,4.3,88.0,118.0,923.0,30.0,24.8,11.7,90.47
15.0,New England Patriots,17.0,366.0,5127.0,1091.0,4.7,18.0,8.0,305.0,370.0,575.0,3543.0,19.0,10.0,5.8,181.0,480.0,1584.0,14.0,3.3,100.0,75.0,544.0,24.0,31.5,7.9,25.44
16.0,Tennessee Titans,17.0,367.0,5697.0,1096.0,5.2,14.0,8.0,334.0,387.0,571.0,3866.0,20.0,6.0,6.3,189.0,480.0,1831.0,10.0,3.8,103.0,98.0,776.0,42.0,43.2,6.8,-69.25
