Unnamed: 0,HOU,IND,week,year,game_id
First Downs,18,25,18.0,2022,264
Rush-Yds-TDs,23-59-0,33-196-1,18.0,2022,264
Cmp-Att-Yd-TD-INT,24-40-311-3-2,23-35-209-2-2,18.0,2022,264
Sacked-Yards,1-10,2-7,18.0,2022,264
Net Pass Yards,301,202,18.0,2022,264
Total Yards,360,398,18.0,2022,264
Fumbles-Lost,2-1,4-1,18.0,2022,264
Turnovers,3,3,18.0,2022,264
Penalties-Yards,7-41,2-10,18.0,2022,264
Third Down Conv.,5-14,4-13,18.0,2022,264
Fourth Down Conv.,2-2,2-3,18.0,2022,264
Time of Possession,26:07,33:53,18.0,2022,264
