Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Daniel Brunskill,C,62,100%,0,0%,6,23%,1,49ers,18.0,2022,266
Spencer Burford,G,62,100%,0,0%,6,23%,1,49ers,18.0,2022,266
Jake Brendel,C,51,82%,0,0%,6,23%,1,49ers,18.0,2022,266
Mike McGlinchey,T,51,82%,0,0%,0,0%,1,49ers,18.0,2022,266
Brock Purdy,QB,51,82%,0,0%,0,0%,1,49ers,18.0,2022,266
Trent Williams,T,45,73%,0,0%,0,0%,1,49ers,18.0,2022,266
Brandon Aiyuk,WR,45,73%,0,0%,0,0%,1,49ers,18.0,2022,266
George Kittle,TE,44,71%,0,0%,0,0%,1,49ers,18.0,2022,266
Deebo Samuel,WR,42,68%,0,0%,0,0%,1,49ers,18.0,2022,266
Christian McCaffrey,RB,30,48%,0,0%,0,0%,1,49ers,18.0,2022,266
Kyle Juszczyk,FB,27,44%,0,0%,4,15%,1,49ers,18.0,2022,266
Jauan Jennings,WR,26,42%,0,0%,0,0%,1,49ers,18.0,2022,266
Tyler Kroft,TE,23,37%,0,0%,21,81%,1,49ers,18.0,2022,266
Jaylon Moore,T,17,27%,0,0%,6,23%,1,49ers,18.0,2022,266
Danny Gray,WR,17,27%,0,0%,2,8%,1,49ers,18.0,2022,266
Jordan Mason,RB,14,23%,0,0%,18,69%,1,49ers,18.0,2022,266
Charlie Woerner,TE,12,19%,0,0%,24,92%,1,49ers,18.0,2022,266
Ray-Ray McCloud,WR,12,19%,0,0%,6,23%,1,49ers,18.0,2022,266
Colton McKivitz,T,11,18%,0,0%,6,23%,1,49ers,18.0,2022,266
Nick Zakelj,G,11,18%,0,0%,6,23%,1,49ers,18.0,2022,266
Josh Johnson,QB,11,18%,0,0%,0,0%,1,49ers,18.0,2022,266
Elijah Mitchell,RB,10,16%,0,0%,0,0%,1,49ers,18.0,2022,266
Tyrion Davis-Price,RB,8,13%,0,0%,4,15%,1,49ers,18.0,2022,266
Deommodore Lenoir,CB,0,0%,52,100%,2,8%,1,49ers,18.0,2022,266
Azeez Al-Shaair,LB,0,0%,48,92%,5,19%,1,49ers,18.0,2022,266
Talanoa Hufanga,SS,0,0%,44,85%,4,15%,1,49ers,18.0,2022,266
Tashaun Gipson,FS,0,0%,44,85%,2,8%,1,49ers,18.0,2022,266
Jimmie Ward,FS,0,0%,40,77%,3,12%,1,49ers,18.0,2022,266
Fred Warner,LB,0,0%,35,67%,2,8%,1,49ers,18.0,2022,266
Charles Omenihu,DE,0,0%,35,67%,2,8%,1,49ers,18.0,2022,266
Charvarius Ward,CB,0,0%,35,67%,1,4%,1,49ers,18.0,2022,266
Samson Ebukam,DE,0,0%,28,54%,2,8%,1,49ers,18.0,2022,266
Jordan Willis,DE,0,0%,26,50%,14,54%,1,49ers,18.0,2022,266
Oren Burks,LB,0,0%,25,48%,20,77%,1,49ers,18.0,2022,266
Nick Bosa,DE,0,0%,25,48%,0,0%,1,49ers,18.0,2022,266
Javon Kinlaw,DT,0,0%,22,42%,0,0%,1,49ers,18.0,2022,266
Arik Armstead,DT,0,0%,22,42%,0,0%,1,49ers,18.0,2022,266
Michael Dwumfour,DT,0,0%,18,35%,0,0%,1,49ers,18.0,2022,266
Jackrabbit Jenkins,CB,0,0%,17,33%,13,50%,1,49ers,18.0,2022,266
Kerry Hyder,DE,0,0%,16,31%,5,19%,1,49ers,18.0,2022,266
T.Y. McGill,DT,0,0%,16,31%,2,8%,1,49ers,18.0,2022,266
George Odum,FS,0,0%,8,15%,20,77%,1,49ers,18.0,2022,266
Samuel Womack,CB,0,0%,8,15%,19,73%,1,49ers,18.0,2022,266
Tarvarius Moore,SS,0,0%,8,15%,16,62%,1,49ers,18.0,2022,266
Robbie Gould,K,0,0%,0,0%,13,50%,1,49ers,18.0,2022,266
Taybor Pepper,LS,0,0%,0,0%,11,42%,1,49ers,18.0,2022,266
Mitch Wishnowsky,P,0,0%,0,0%,11,42%,1,49ers,18.0,2022,266
Demetrius Flannigan-Fowles,LB,0,0%,0,0%,4,15%,1,49ers,18.0,2022,266
