Unnamed: 0,DAL,WAS,week,year,game_id
First Downs,10,16,18.0,2022,267
Rush-Yds-TDs,27-64-0,41-151-1,18.0,2022,267
Cmp-Att-Yd-TD-INT,14-38-128-1-1,11-19-169-1-1,18.0,2022,267
Sacked-Yards,1-10,3-11,18.0,2022,267
Net Pass Yards,118,158,18.0,2022,267
Total Yards,182,309,18.0,2022,267
Fumbles-Lost,2-1,1-0,18.0,2022,267
Turnovers,2,1,18.0,2022,267
Penalties-Yards,6-74,2-10,18.0,2022,267
Third Down Conv.,4-18,3-14,18.0,2022,267
Fourth Down Conv.,1-3,0-0,18.0,2022,267
Time of Possession,23:48,36:12,18.0,2022,267
