Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Browns to receive the opening kickoff.",,,18.0,2022,263
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 57 yards, returned by Jerome Ford for 16 yards (tackle by James Pierre)",0.0,0.54,18.0,2022,263
1.0,14:54,1.0,10.0,CLE 24,0.0,0.0,Deshaun Watson pass complete short middle to Nick Chubb for 19 yards (tackle by Robert Spillane),0.54,1.8,18.0,2022,263
1.0,14:15,1.0,10.0,CLE 43,0.0,0.0,Deshaun Watson pass complete short left to Nick Chubb for 5 yards (tackle by Alex Highsmith),1.8,1.93,18.0,2022,263
1.0,13:45,2.0,5.0,CLE 48,0.0,0.0,"Deshaun Watson scrambles for no gain. Penalty on James Hudson: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.93,0.58,18.0,2022,263
1.0,13:22,2.0,15.0,CLE 38,0.0,0.0,Deshaun Watson pass complete short middle to Harrison Bryant for 6 yards (tackle by Robert Spillane),0.58,0.69,18.0,2022,263
1.0,12:42,3.0,9.0,CLE 44,0.0,0.0,Deshaun Watson pass incomplete short right intended for David Njoku (defended by Terrell Edmunds),0.69,-0.46,18.0,2022,263
1.0,12:37,4.0,9.0,CLE 44,0.0,0.0,"Corey Bojorquez punts 35 yards, returned by Steven Sims for 12 yards (tackle by John Johnson and Tae Davis)",-0.46,-1.14,18.0,2022,263
1.0,12:28,1.0,10.0,PIT 33,0.0,0.0,Najee Harris up the middle for 8 yards (tackle by Tony Fields and Reggie Ragland),1.14,1.67,18.0,2022,263
1.0,11:51,2.0,2.0,PIT 41,0.0,0.0,Najee Harris left tackle for 8 yards (tackle by Denzel Ward),1.67,2.19,18.0,2022,263
1.0,11:12,1.0,10.0,PIT 49,0.0,0.0,Najee Harris left tackle for 6 yards (tackle by Tony Fields),2.19,2.46,18.0,2022,263
1.0,10:34,2.0,4.0,CLE 45,0.0,0.0,Jaylen Warren left guard for 3 yards (tackle by Chase Winovich),2.46,2.15,18.0,2022,263
