Unnamed: 0,MIN,CHI,week,year,game_id
First Downs,28,13,18.0,2022,262
Rush-Yds-TDs,38-141-2,22-118-1,18.0,2022,262
Cmp-Att-Yd-TD-INT,28-33-341-1-1,13-27-147-1-2,18.0,2022,262
Sacked-Yards,0-0,1-6,18.0,2022,262
Net Pass Yards,341,141,18.0,2022,262
Total Yards,482,259,18.0,2022,262
Fumbles-Lost,2-1,0-0,18.0,2022,262
Turnovers,2,2,18.0,2022,262
Penalties-Yards,8-36,2-20,18.0,2022,262
Third Down Conv.,6-11,2-9,18.0,2022,262
Fourth Down Conv.,0-0,0-3,18.0,2022,262
Time of Possession,36:36,23:24,18.0,2022,262
