Quarter,Time,Tm,Detail,NWE,BUF,week,year,game_id
1.0,14:46,Bills,Nyheim Hines 96 yard kickoff return (Tyler Bass kick),0,7,18.0,2022,258
,5:45,Patriots,Jakobi Meyers 2 yard pass from Mac Jones (Nick Folk kick),7,7,18.0,2022,258
2.0,14:15,Bills,Dawson Knox 4 yard pass from Josh Allen (Tyler Bass kick),7,14,18.0,2022,258
,3:45,Patriots,DeVante Parker 2 yard pass from Mac Jones (Nick Folk kick),14,14,18.0,2022,258
3.0,7:06,Patriots,Nick Folk 24 yard field goal,17,14,18.0,2022,258
,6:53,Bills,Nyheim Hines 101 yard kickoff return (Tyler Bass kick),17,21,18.0,2022,258
,1:35,Bills,John Brown 42 yard pass from Josh Allen (Tyler Bass kick),17,28,18.0,2022,258
4.0,11:37,Patriots,DeVante Parker 26 yard pass from Mac Jones (pass failed),23,28,18.0,2022,258
,8:51,Bills,Stefon Diggs 49 yard pass from Josh Allen (Tyler Bass kick),23,35,18.0,2022,258
