Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
Christian Kirksey,HOU,1,18,0,18,1,0.0,5,5,0,0,0,0,0,0,0,18.0,2022,264
Jonathan Greenard,HOU,1,39,1,39,1,0.0,3,1,2,0,0,0,0,0,0,18.0,2022,264
Christian Harris,HOU,0,0,0,0,1,1.0,10,7,3,2,1,0,0,0,0,18.0,2022,264
Maliek Collins,HOU,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,0,18.0,2022,264
Jonathan Owens,HOU,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0,18.0,2022,264
Jalen Pitre,HOU,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0,18.0,2022,264
Tavierre Thomas,HOU,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0,18.0,2022,264
Desmond King,HOU,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,18.0,2022,264
M.J. Stewart,HOU,0,0,0,0,0,0.0,5,4,1,0,0,1,0,0,0,18.0,2022,264
Blake Cashman,HOU,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,18.0,2022,264
Jake Hansen,HOU,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,18.0,2022,264
Roy Lopez,HOU,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,18.0,2022,264
Eric Murray,HOU,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,18.0,2022,264
Tremon Smith,HOU,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,18.0,2022,264
Neville Hewitt,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1,18.0,2022,264
Kurt Hinish,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2022,264
Jerry Hughes,HOU,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,18.0,2022,264
Rex Burkhead,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,264
Rasheem Green,HOU,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,18.0,2022,264
Kenyon Green,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,264
Ogbonnia Okoronkwo,HOU,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,264
Laremy Tunsil,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,264
Rodney McLeod,IND,1,27,1,27,1,0.0,8,4,4,0,0,0,0,0,0,18.0,2022,264
Rodney Thomas II,IND,1,11,0,11,1,0.0,2,2,0,0,0,0,0,0,0,18.0,2022,264
Zaire Franklin,IND,0,0,0,0,0,1.0,7,5,2,2,1,0,0,0,0,18.0,2022,264
Julian Blackmon,IND,0,0,0,0,0,0.0,8,6,2,1,0,1,34,0,0,18.0,2022,264
E.J. Speed,IND,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,1,18.0,2022,264
Bobby Okereke,IND,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,18.0,2022,264
DeForest Buckner,IND,0,0,0,0,0,0.0,4,4,0,2,3,0,0,0,0,18.0,2022,264
Brandon Facyson,IND,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,18.0,2022,264
Dayo Odeyingbo,IND,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,18.0,2022,264
Dallis Flowers,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2022,264
Ben Banogu,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,264
Khalid Kareem,IND,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,18.0,2022,264
Cameron McGrone,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,264
Zack Moss,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,264
Quenton Nelson,IND,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,18.0,2022,264
Kwity Paye,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2022,264
Grover Stewart,IND,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,18.0,2022,264
Grant Stuard,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2022,264
Darrell Baker,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,7,0,0,18.0,2022,264
Michael Pittman Jr.,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,5,0,0,18.0,2022,264
