Unnamed: 0,TEN,JAX,week,year,game_id
First Downs,19,13,18.0,2022,257
Rush-Yds-TDs,39-147-0,14-19-0,18.0,2022,257
Cmp-Att-Yd-TD-INT,20-29-179-1-1,20-32-212-1-0,18.0,2022,257
Sacked-Yards,4-14,1-9,18.0,2022,257
Net Pass Yards,165,203,18.0,2022,257
Total Yards,312,222,18.0,2022,257
Fumbles-Lost,2-1,1-1,18.0,2022,257
Turnovers,2,1,18.0,2022,257
Penalties-Yards,6-40,4-25,18.0,2022,257
Third Down Conv.,6-17,5-11,18.0,2022,257
Fourth Down Conv.,2-3,0-0,18.0,2022,257
Time of Possession,36:12,23:48,18.0,2022,257
