Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
1.0,8:20,2.0,7.0,CIN 47,0.0,0.0,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Roquan Smith),1.72,1.29,18.0,2022,259
1.0,7:42,3.0,5.0,CIN 49,0.0,0.0,Joe Burrow pass complete short right to Hayden Hurst for 6 yards (tackle by Daryl Worley),1.29,2.59,18.0,2022,259
1.0,6:58,1.0,10.0,BAL 45,0.0,0.0,Joe Burrow pass incomplete deep middle intended for Ja'Marr Chase (defended by Daryl Worley),2.59,2.04,18.0,2022,259
1.0,6:48,2.0,10.0,BAL 45,0.0,0.0,Joe Burrow pass complete short middle to Trenton Irwin for 12 yards (tackle by Daryl Worley and Marcus Williams),2.04,3.38,18.0,2022,259
1.0,6:07,1.0,10.0,BAL 33,0.0,0.0,Joe Burrow pass incomplete short left intended for Tee Higgins,3.38,2.84,18.0,2022,259
1.0,6:02,2.0,10.0,BAL 33,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Marcus Williams),2.84,4.51,18.0,2022,259
1.0,5:23,1.0,10.0,BAL 16,0.0,0.0,Joe Burrow pass incomplete short right intended for Hayden Hurst,4.51,3.9,18.0,2022,259
1.0,5:17,2.0,10.0,BAL 16,0.0,0.0,Joe Burrow pass incomplete deep left,3.9,3.08,18.0,2022,259
1.0,5:09,3.0,10.0,BAL 16,0.0,0.0,Joe Burrow pass incomplete short right intended for Trenton Irwin,3.08,2.38,18.0,2022,259
1.0,5:05,4.0,10.0,BAL 16,0.0,3.0,Evan McPherson 34 yard field goal good,2.38,3.0,18.0,2022,259
1.0,5:01,,,CIN 35,0.0,3.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
1.0,5:01,1.0,10.0,BAL 25,0.0,3.0,Anthony Brown pass deep middle intended for Isaiah Likely is intercepted by Jessie Bates at CIN-48 and returned for 4 yards (tackle by Isaiah Likely),0.61,-2.39,18.0,2022,259
1.0,4:49,1.0,10.0,BAL 48,0.0,3.0,Joe Burrow pass incomplete deep right intended for Tyler Boyd,2.39,1.85,18.0,2022,259
1.0,4:45,2.0,10.0,BAL 48,0.0,3.0,Joe Burrow pass incomplete short left intended for Tee Higgins,1.85,1.16,18.0,2022,259
1.0,4:41,3.0,10.0,BAL 48,0.0,3.0,Joe Burrow pass complete deep middle to Tyler Boyd for 22 yards (tackle by Marcus Williams),1.16,3.84,18.0,2022,259
1.0,3:59,1.0,10.0,BAL 26,0.0,3.0,Joe Mixon right tackle for 8 yards (tackle by Patrick Queen and Chuck Clark),3.84,4.45,18.0,2022,259
1.0,3:19,2.0,2.0,BAL 18,0.0,3.0,Joe Burrow pass complete short left to Hayden Hurst for 7 yards (tackle by Marcus Williams),4.45,4.84,18.0,2022,259
1.0,2:46,1.0,10.0,BAL 11,0.0,3.0,Joe Burrow pass complete short right to Ja'Marr Chase for -2 yards (tackle by Daryl Worley),4.84,3.83,18.0,2022,259
1.0,2:08,2.0,12.0,BAL 13,0.0,3.0,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Kyle Hamilton),3.83,6.97,18.0,2022,259
1.0,1:18,1.0,1.0,BAL 1,0.0,9.0,"Joe Mixon left guard for 1 yard, touchdown",6.97,7.0,18.0,2022,259
1.0,1:11,,,BAL 15,0.0,10.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2022,259
1.0,1:11,,,CIN 35,0.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
1.0,1:11,1.0,10.0,BAL 25,0.0,10.0,Gus Edwards left end for 5 yards (tackle by Eli Apple),0.61,0.74,18.0,2022,259
1.0,0:43,2.0,5.0,BAL 30,0.0,10.0,Gus Edwards left tackle for no gain (tackle by Cameron Sample),0.74,0.04,18.0,2022,259
2.0,15:00,3.0,5.0,BAL 30,0.0,10.0,Anthony Brown pass short middle intended for Demarcus Robinson is intercepted by Mike Hilton at BAL-37 and returned for 5 yards (tackle by Demarcus Robinson),0.04,-3.45,18.0,2022,259
2.0,14:55,1.0,10.0,BAL 32,0.0,10.0,Samaje Perine right tackle for 6 yards (tackle by Roquan Smith),3.45,3.71,18.0,2022,259
2.0,14:22,2.0,4.0,BAL 26,0.0,10.0,Joe Burrow pass incomplete deep left intended for Tee Higgins,3.71,3.01,18.0,2022,259
2.0,14:17,3.0,4.0,BAL 26,0.0,16.0,"Joe Burrow pass complete deep left to Ja'Marr Chase for 26 yards, touchdown",3.01,7.0,18.0,2022,259
