Unnamed: 0,NYG,PHI,week,year,game_id
First Downs,18,23,18.0,2022,269
Rush-Yds-TDs,21-129-1,34-135-1,18.0,2022,269
Cmp-Att-Yd-TD-INT,23-40-168-1-0,20-35-229-0-1,18.0,2022,269
Sacked-Yards,2-13,3-22,18.0,2022,269
Net Pass Yards,155,207,18.0,2022,269
Total Yards,284,342,18.0,2022,269
Fumbles-Lost,0-0,0-0,18.0,2022,269
Turnovers,0,1,18.0,2022,269
Penalties-Yards,8-66,4-30,18.0,2022,269
Third Down Conv.,4-14,5-14,18.0,2022,269
Fourth Down Conv.,2-3,0-0,18.0,2022,269
Time of Possession,28:34,31:26,18.0,2022,269
