Quarter,Time,Tm,Detail,BAL,CIN,week,year,game_id
1.0,5:01,Bengals,Evan McPherson 34 yard field goal,0,3,18.0,2022,259
,1:11,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),0,10,18.0,2022,259
2.0,14:12,Bengals,Ja'Marr Chase 26 yard pass from Joe Burrow (Evan McPherson kick),0,17,18.0,2022,259
,1:57,Ravens,Kenyan Drake 4 yard rush (Justin Tucker kick),7,17,18.0,2022,259
,0:30,Bengals,Joseph Ossai fumble recovery in end zone (Evan McPherson kick),7,24,18.0,2022,259
3.0,10:34,Ravens,Justin Tucker 26 yard field goal,10,24,18.0,2022,259
,6:27,Bengals,Evan McPherson 26 yard field goal,10,27,18.0,2022,259
,1:59,Ravens,Justin Tucker 51 yard field goal,13,27,18.0,2022,259
4.0,12:17,Ravens,Justin Tucker 27 yard field goal,16,27,18.0,2022,259
