Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Colts,0.0,3.77,-6.69,6.94,-12.27,0.16,-9.64,9.12,13.06,-3.89,-2.99,-2.94,1.59,-0.85,1.3,18.0,2022,264
Texans,0.0,-0.16,9.64,-9.12,-13.06,-3.77,6.69,-6.94,12.27,3.89,2.94,2.99,0.85,-1.59,-1.3,18.0,2022,264
