Unnamed: 0,CAR,NOR,week,year,game_id
First Downs,14,16,18.0,2022,261
Rush-Yds-TDs,41-171-0,32-143-0,18.0,2022,261
Cmp-Att-Yd-TD-INT,5-15-43-0-2,15-25-171-1-0,18.0,2022,261
Sacked-Yards,2-11,1-10,18.0,2022,261
Net Pass Yards,32,161,18.0,2022,261
Total Yards,203,304,18.0,2022,261
Fumbles-Lost,3-0,1-1,18.0,2022,261
Turnovers,2,1,18.0,2022,261
Penalties-Yards,2-20,2-15,18.0,2022,261
Third Down Conv.,8-14,4-13,18.0,2022,261
Fourth Down Conv.,0-0,0-1,18.0,2022,261
Time of Possession,30:55,29:05,18.0,2022,261
