Unnamed: 0,TAM,ATL,week,year,game_id
First Downs,12,22,18.0,2022,260
Rush-Yds-TDs,20-86-0,35-174-1,18.0,2022,260
Cmp-Att-Yd-TD-INT,22-34-136-2-0,19-30-224-2-0,18.0,2022,260
Sacked-Yards,0-0,2-16,18.0,2022,260
Net Pass Yards,136,208,18.0,2022,260
Total Yards,222,382,18.0,2022,260
Fumbles-Lost,1-1,1-1,18.0,2022,260
Turnovers,1,1,18.0,2022,260
Penalties-Yards,3-30,2-18,18.0,2022,260
Third Down Conv.,6-13,6-15,18.0,2022,260
Fourth Down Conv.,0-1,3-3,18.0,2022,260
Time of Possession,25:11,34:49,18.0,2022,260
