Quarter,Time,Tm,Detail,CAR,NOR,week,year,game_id
1,11:01,Saints,Chris Olave 25 yard pass from Andy Dalton (Wil Lutz kick),0,7,18.0,2022,261
3,6:45,Panthers,Michael Jordan fumble recovery in end zone (Eddy Piñeiro kick),7,7,18.0,2022,261
4,0:00,Panthers,Eddy Piñeiro 42 yard field goal,10,7,18.0,2022,261
