Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Chuba Hubbard,CAR,21,69,0,3.0,24,1.1,45,2.1,0,,18.0,2022,261
D'Onta Foreman,CAR,12,68,0,3.0,36,3.0,32,2.7,0,,18.0,2022,261
Sam Darnold,CAR,6,32,0,4.0,18,3.0,14,2.3,0,,18.0,2022,261
Raheem Blackshear,CAR,1,1,0,,0,0.0,1,1.0,0,,18.0,2022,261
Laviska Shenault Jr.,CAR,1,1,0,0.0,1,1.0,0,0.0,0,,18.0,2022,261
Alvin Kamara,NOR,23,107,0,5.0,18,0.8,89,3.9,0,,18.0,2022,261
Taysom Hill,NOR,5,24,0,1.0,14,2.8,10,2.0,0,,18.0,2022,261
Eno Benjamin,NOR,2,3,0,,0,0.0,3,1.5,0,,18.0,2022,261
Andy Dalton,NOR,1,2,0,1.0,1,1.0,1,1.0,0,,18.0,2022,261
Rashid Shaheed,NOR,1,7,0,0.0,6,6.0,1,1.0,0,,18.0,2022,261
