Unnamed: 0,LAR,SEA,week,year,game_id
First Downs,14,22,18.0,2022,270
Rush-Yds-TDs,28-146-1,36-197-0,18.0,2022,270
Cmp-Att-Yd-TD-INT,13-26-147-0-1,19-31-213-1-2,18.0,2022,270
Sacked-Yards,5-24,3-8,18.0,2022,270
Net Pass Yards,123,205,18.0,2022,270
Total Yards,269,402,18.0,2022,270
Fumbles-Lost,0-0,0-0,18.0,2022,270
Turnovers,1,2,18.0,2022,270
Penalties-Yards,3-35,4-20,18.0,2022,270
Third Down Conv.,4-14,1-11,18.0,2022,270
Fourth Down Conv.,1-1,1-1,18.0,2022,270
Time of Possession,29:55,35:31,18.0,2022,270
