Unnamed: 0,DET,GNB,week,year,game_id
First Downs,21,17,18.0,2022,271
Rush-Yds-TDs,25-104-2,28-103-0,18.0,2022,271
Cmp-Att-Yd-TD-INT,23-34-224-0-0,17-27-205-1-1,18.0,2022,271
Sacked-Yards,1-5,2-17,18.0,2022,271
Net Pass Yards,219,188,18.0,2022,271
Total Yards,323,291,18.0,2022,271
Fumbles-Lost,1-0,1-1,18.0,2022,271
Turnovers,0,2,18.0,2022,271
Penalties-Yards,5-75,4-35,18.0,2022,271
Third Down Conv.,4-12,4-12,18.0,2022,271
Fourth Down Conv.,2-2,1-2,18.0,2022,271
Time of Possession,27:45,32:15,18.0,2022,271
