Quarter,Time,Tm,Detail,NYJ,MIA,week,year,game_id
2.0,5:17,Dolphins,Jason Sanders 37 yard field goal,0,3,18.0,2022,265
,1:35,Jets,Greg Zuerlein 32 yard field goal,3,3,18.0,2022,265
3.0,5:18,Dolphins,Jason Sanders 37 yard field goal,3,6,18.0,2022,265
4.0,11:59,Jets,Greg Zuerlein 35 yard field goal,6,6,18.0,2022,265
,0:18,Dolphins,Jason Sanders 50 yard field goal,6,9,18.0,2022,265
,0:00,Dolphins,Safety,6,11,18.0,2022,265
