Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Titans to receive the opening kickoff.",,,18.0,2022,257
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards,",0.0,0.61,18.0,2022,257
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry right guard for -1 yards (tackle by Josh Allen),0.61,-0.07,18.0,2022,257
1.0,14:23,2.0,11.0,TEN 24,0.0,0.0,Joshua Dobbs pass complete short left to Robert Woods for 7 yards (tackle by Tyson Campbell),-0.07,0.17,18.0,2022,257
1.0,13:46,3.0,4.0,TEN 31,0.0,0.0,Joshua Dobbs pass incomplete short middle intended for Jonathan Ward,0.17,-1.31,18.0,2022,257
1.0,13:41,4.0,4.0,TEN 31,0.0,0.0,"Ryan Stonehouse punts 60 yards, returned by Jamal Agnew for 11 yards (tackle by Joseph Jones and Dylan Cole)",-1.31,-0.28,18.0,2022,257
1.0,13:29,1.0,10.0,JAX 20,0.0,0.0,"Trevor Lawrence pass incomplete deep left. Penalty on Kristian Fulton: Illegal Contact, 5 yards (accepted) (no play)",0.28,0.61,18.0,2022,257
1.0,13:24,1.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass incomplete deep right intended for Zay Jones,0.61,0.06,18.0,2022,257
1.0,13:18,2.0,10.0,JAX 25,0.0,0.0,Travis Etienne left end for 1 yard (tackle by Jack Gibbens and Monty Rice),0.06,-0.49,18.0,2022,257
1.0,12:34,3.0,9.0,JAX 26,0.0,0.0,Trevor Lawrence pass complete short left to Zay Jones for 8 yards (tackle by Kristian Fulton),-0.49,-1.11,18.0,2022,257
1.0,11:37,4.0,1.0,JAX 34,0.0,0.0,"Penalty on JAX: Delay of Game, 4 yards (accepted) (no play)",-1.11,-1.37,18.0,2022,257
1.0,11:32,4.0,5.0,JAX 30,0.0,0.0,"Logan Cooke punts 56 yards, returned by Robert Woods for 2 yards (tackle by Chris Claybrooks)",-1.37,0.14,18.0,2022,257
1.0,11:22,1.0,10.0,TEN 16,0.0,0.0,Derrick Henry up the middle for -2 yards (tackle by Chad Muma),-0.14,-0.89,18.0,2022,257
1.0,10:43,2.0,12.0,TEN 14,0.0,0.0,Derrick Henry for 10 yards (tackle by DaVon Hamilton),-0.89,-0.32,18.0,2022,257
1.0,9:59,3.0,2.0,TEN 24,0.0,0.0,Joshua Dobbs pass complete short right to Chigoziem Okonkwo for 10 yards (tackle by Darious Williams),-0.32,1.2,18.0,2022,257
1.0,9:27,1.0,10.0,TEN 34,0.0,0.0,Derrick Henry right guard for 7 yards (tackle by Chad Muma),1.2,1.6,18.0,2022,257
1.0,8:45,2.0,3.0,TEN 41,0.0,0.0,Joshua Dobbs pass complete short right to Treylon Burks for 4 yards (tackle by Darious Williams),1.6,1.93,18.0,2022,257
1.0,8:06,1.0,10.0,TEN 45,0.0,0.0,Derrick Henry right end for 3 yards (tackle by Arden Key and Corey Peters),1.93,1.79,18.0,2022,257
1.0,7:23,2.0,7.0,TEN 48,0.0,0.0,Racey McMath left end for 4 yards (tackle by Chad Muma),1.79,1.62,18.0,2022,257
1.0,6:43,3.0,3.0,JAX 48,0.0,0.0,Joshua Dobbs pass incomplete short right,1.62,0.07,18.0,2022,257
1.0,6:34,4.0,3.0,JAX 48,0.0,0.0,Joshua Dobbs pass complete short right to Austin Hooper for 7 yards (tackle by Rayshawn Jenkins),0.07,2.85,18.0,2022,257
1.0,6:00,1.0,10.0,JAX 41,0.0,0.0,Derrick Henry left end for -1 yards (tackle by Corey Peters and Arden Key),2.85,2.17,18.0,2022,257
1.0,5:25,2.0,11.0,JAX 42,0.0,0.0,Derrick Henry right end for 8 yards (tackle by Corey Peters and Andre Cisco),2.17,2.54,18.0,2022,257
1.0,4:38,3.0,3.0,JAX 34,0.0,0.0,Hassan Haskins up the middle for no gain (tackle by Josh Allen and DaVon Hamilton),2.54,1.09,18.0,2022,257
1.0,4:00,4.0,3.0,JAX 34,0.0,0.0,Joshua Dobbs pass complete short left to Robert Woods for 9 yards (tackle by Rayshawn Jenkins),1.09,3.91,18.0,2022,257
1.0,3:20,1.0,10.0,JAX 25,0.0,0.0,Derrick Henry right end for 1 yard (tackle by Corey Peters),3.91,3.43,18.0,2022,257
1.0,2:44,2.0,10.0,JAX 24,0.0,0.0,Derrick Henry left end for 4 yards (tackle by Chad Muma and Tre Herndon),3.43,3.34,18.0,2022,257
1.0,1:59,3.0,5.0,JAX 20,0.0,0.0,"Joshua Dobbs scrambles left end for no gain (tackle by Foyesade Oluokun). Penalty on Dennis Daley: Offensive Holding, 10 yards (accepted) (no play)",3.34,2.01,18.0,2022,257
1.0,1:41,3.0,15.0,JAX 30,0.0,0.0,"Joshua Dobbs pass complete short right to Treylon Burks for 2 yards (tackle by Darious Williams). Penalty on Treylon Burks: Illegal Forward Pass, 5 yards (accepted)",2.01,1.15,18.0,2022,257
1.0,1:26,4.0,18.0,JAX 33,3.0,0.0,Randy Bullock 51 yard field goal good,1.15,3.0,18.0,2022,257
1.0,1:23,,,TEN 35,3.0,0.0,"Randy Bullock kicks off 68 yards, returned by Jamal Agnew for 31 yards (tackle by Jonathan Ward and Andre Smith)",0.0,0.81,18.0,2022,257
1.0,1:18,1.0,10.0,JAX 28,3.0,0.0,Trevor Lawrence pass complete short middle to Christian Kirk for 5 yards (tackle by Kevin Byard),0.81,0.94,18.0,2022,257
1.0,0:41,2.0,5.0,JAX 33,3.0,0.0,Travis Etienne right end for 7 yards (tackle by Kristian Fulton),0.94,1.6,18.0,2022,257
2.0,15:00,1.0,10.0,JAX 40,3.0,0.0,Travis Etienne up the middle for 1 yard (tackle by Amani Hooker and Monty Rice),1.6,1.19,18.0,2022,257
2.0,14:25,2.0,9.0,JAX 41,3.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 2 yards (tackle by Kevin Byard),1.19,0.76,18.0,2022,257
2.0,13:49,3.0,7.0,JAX 43,3.0,0.0,Trevor Lawrence pass complete short middle to Travis Etienne for 9 yards (tackle by Jack Gibbens and Kristian Fulton),0.76,2.39,18.0,2022,257
2.0,13:09,1.0,10.0,TEN 48,3.0,0.0,Jamycal Hasty up the middle for -1 yards (tackle by Teair Tart),2.39,1.71,18.0,2022,257
2.0,12:34,2.0,11.0,TEN 49,3.0,0.0,Jamycal Hasty right end for 3 yards (tackle by Kevin Byard),1.71,1.42,18.0,2022,257
2.0,11:51,3.0,8.0,TEN 46,3.0,0.0,"Penalty on JAX: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",1.42,0.76,18.0,2022,257
2.0,11:38,3.0,13.0,JAX 49,3.0,0.0,Trevor Lawrence pass complete deep middle to Christian Kirk for 16 yards (tackle by Amani Hooker),0.76,3.25,18.0,2022,257
2.0,10:58,1.0,10.0,TEN 35,3.0,0.0,Trevor Lawrence pass complete short middle to Zay Jones for 5 yards (tackle by Monty Rice),3.25,3.38,18.0,2022,257
2.0,10:14,2.0,5.0,TEN 30,3.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 8 yards (tackle by Jack Gibbens),3.38,4.11,18.0,2022,257
2.0,9:28,1.0,10.0,TEN 22,3.0,0.0,"Trevor Lawrence aborted snap, recovered by Rashad Weaver at TEN-31",4.11,-1.0,18.0,2022,257
2.0,9:24,1.0,10.0,TEN 31,3.0,0.0,Joshua Dobbs pass complete short right to Derrick Henry for 19 yards (tackle by Darious Williams),1.0,2.26,18.0,2022,257
2.0,8:45,1.0,10.0,TEN 50,3.0,0.0,Derrick Henry up the middle for 1 yard (tackle by Andrew Wingard),2.26,1.85,18.0,2022,257
2.0,8:12,2.0,9.0,JAX 49,3.0,0.0,Joshua Dobbs pass complete short right to Treylon Burks for 4 yards (tackle by K'Lavon Chaisson),1.85,1.69,18.0,2022,257
2.0,7:33,3.0,5.0,JAX 45,3.0,0.0,Joshua Dobbs pass complete short middle to Austin Hooper for 7 yards (tackle by Devin Lloyd),1.69,3.05,18.0,2022,257
2.0,6:55,1.0,10.0,JAX 38,3.0,0.0,Derrick Henry up the middle for 3 yards (tackle by Adam Gotsis),3.05,2.91,18.0,2022,257
2.0,6:17,2.0,7.0,JAX 35,3.0,0.0,Derrick Henry left end for 14 yards (tackle by Tyson Campbell),2.91,4.17,18.0,2022,257
2.0,5:39,1.0,10.0,JAX 21,9.0,0.0,"Joshua Dobbs pass complete deep left to Chigoziem Okonkwo for 21 yards, touchdown",4.17,7.0,18.0,2022,257
2.0,5:32,,,JAX 15,10.0,0.0,Randy Bullock kicks extra point good,0.0,0.0,18.0,2022,257
2.0,5:32,,,TEN 35,10.0,0.0,"Randy Bullock kicks off 69 yards, returned by Jamal Agnew for 54 yards (tackle by Joshua Kalu)",0.0,2.26,18.0,2022,257
2.0,5:24,1.0,10.0,JAX 50,10.0,0.0,Travis Etienne right end for 5 yards (tackle by Amani Hooker),2.26,2.39,18.0,2022,257
2.0,4:53,2.0,5.0,TEN 45,10.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 6 yards (tackle by Joshua Kalu),2.39,2.98,18.0,2022,257
2.0,4:11,1.0,10.0,TEN 39,10.0,0.0,Trevor Lawrence pass incomplete short right intended for Jamycal Hasty,2.98,2.44,18.0,2022,257
