Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,18.0,2022,256
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,256
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Isiah Pacheco up the middle for 5 yards (tackle by Luke Masterson and Tyler Hall),0.61,0.74,18.0,2022,256
1.0,14:22,2.0,5.0,KAN 30,0.0,0.0,Patrick Mahomes pass complete deep left to Justin Watson for 67 yards (tackle by Amik Robertson),0.74,6.51,18.0,2022,256
1.0,13:41,1.0,3.0,LVR 3,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for -1 yards (tackle by Amik Robertson and Maxx Crosby),6.51,5.34,18.0,2022,256
1.0,13:03,2.0,4.0,LVR 4,0.0,0.0,Patrick Mahomes pass incomplete short right,5.34,4.49,18.0,2022,256
1.0,12:58,3.0,4.0,LVR 4,0.0,0.0,"Penalty on LVR: Defensive Too Many Men on Field, 2 yards (accepted) (no play)",4.49,4.95,18.0,2022,256
1.0,12:58,3.0,2.0,LVR 2,6.0,0.0,"Patrick Mahomes pass complete short left to Jerick McKinnon for 2 yards, touchdown",4.95,7.0,18.0,2022,256
1.0,12:52,,,LVR 15,7.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,18.0,2022,256
1.0,12:52,,,KAN 35,7.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,256
1.0,12:52,1.0,10.0,LVR 25,7.0,0.0,Jarrett Stidham pass complete short left to Foster Moreau for 10 yards (tackle by Leo Chenal and Nick Bolton),0.61,1.27,18.0,2022,256
1.0,12:13,1.0,10.0,LVR 35,7.0,0.0,Josh Jacobs left guard for 4 yards (tackle by Willie Gay and Nick Bolton),1.27,1.26,18.0,2022,256
1.0,11:30,2.0,6.0,LVR 39,7.0,0.0,Jarrett Stidham scrambles right end for 8 yards (tackle by George Karlaftis),1.26,2.06,18.0,2022,256
1.0,10:54,1.0,10.0,LVR 47,7.0,0.0,Josh Jacobs up the middle for -2 yards (tackle by Juan Thornhill),2.06,1.25,18.0,2022,256
1.0,10:17,2.0,12.0,LVR 45,7.0,0.0,Jarrett Stidham scrambles up the middle for 10 yards (tackle by Trent McDuffie),1.25,1.88,18.0,2022,256
1.0,9:32,3.0,2.0,KAN 45,7.0,0.0,Jarrett Stidham pass complete short right to Davante Adams for 13 yards (tackle by Jaylen Watson),1.88,3.45,18.0,2022,256
1.0,8:54,1.0,10.0,KAN 32,7.0,0.0,Jarrett Stidham pass incomplete deep left intended for Davante Adams,3.45,2.9,18.0,2022,256
1.0,8:47,2.0,10.0,KAN 32,7.0,0.0,Jarrett Stidham pass complete short left to Hunter Renfrow for 4 yards (tackle by L'Jarius Sneed and Juan Thornhill),2.9,2.74,18.0,2022,256
1.0,8:01,3.0,6.0,KAN 28,7.0,0.0,Jarrett Stidham sacked by Chris Jones for -7 yards,2.74,0.97,18.0,2022,256
1.0,7:20,4.0,13.0,KAN 35,7.0,3.0,Daniel Carlson 54 yard field goal good,0.97,3.0,18.0,2022,256
1.0,7:15,,,LVR 35,7.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,256
1.0,7:15,1.0,10.0,KAN 25,7.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by Harvey Langi),0.61,1.01,18.0,2022,256
1.0,6:45,2.0,3.0,KAN 32,7.0,3.0,Ronald Jones up the middle for 2 yards (tackle by Luke Masterson and Bilal Nichols),1.01,0.56,18.0,2022,256
1.0,6:05,3.0,1.0,KAN 34,7.0,3.0,Kadarius Toney right end for 1 yard (tackle by Harvey Langi),0.56,1.27,18.0,2022,256
1.0,5:33,1.0,10.0,KAN 35,7.0,3.0,Ronald Jones right tackle for 1 yard (tackle by Luke Masterson and Bilal Nichols),1.27,0.86,18.0,2022,256
1.0,4:57,2.0,9.0,KAN 36,7.0,3.0,Patrick Mahomes pass complete short middle to Noah Gray for 14 yards (tackle by Luke Masterson),0.86,2.26,18.0,2022,256
1.0,4:20,1.0,10.0,KAN 50,7.0,3.0,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Trevon Moehrig),2.26,1.71,18.0,2022,256
1.0,4:14,2.0,10.0,KAN 50,7.0,3.0,Isiah Pacheco right tackle for 8 yards (tackle by Luke Masterson),1.71,2.08,18.0,2022,256
1.0,3:37,3.0,2.0,LVR 42,7.0,3.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,2.08,0.46,18.0,2022,256
1.0,3:33,4.0,2.0,LVR 42,7.0,3.0,Tommy Townsend punts 37 yards downed by Chris Lammons,0.46,0.38,18.0,2022,256
1.0,3:25,1.0,10.0,LVR 5,7.0,3.0,Josh Jacobs left tackle for 1 yard (tackle by Nick Bolton),-0.38,-0.71,18.0,2022,256
1.0,2:51,2.0,9.0,LVR 6,7.0,3.0,Jarrett Stidham pass complete short middle to Mack Hollins for 12 yards (tackle by Juan Thornhill),-0.71,0.04,18.0,2022,256
1.0,1:56,1.0,10.0,LVR 18,7.0,3.0,Jarrett Stidham sacked by Justin Reid for -8 yards,0.04,-1.36,18.0,2022,256
1.0,1:11,2.0,18.0,LVR 10,7.0,3.0,Jarrett Stidham pass deep right intended for Mack Hollins is intercepted by Juan Thornhill at LV-44 and returned for no gain,-1.36,-2.65,18.0,2022,256
