Unnamed: 0,CLE,PIT,week,year,game_id
First Downs,18,23,18.0,2022,263
Rush-Yds-TDs,22-134-0,37-144-2,18.0,2022,263
Cmp-Att-Yd-TD-INT,19-29-230-2-2,13-29-195-1-0,18.0,2022,263
Sacked-Yards,7-57,1-6,18.0,2022,263
Net Pass Yards,173,189,18.0,2022,263
Total Yards,307,333,18.0,2022,263
Fumbles-Lost,1-0,3-1,18.0,2022,263
Turnovers,2,1,18.0,2022,263
Penalties-Yards,9-65,4-20,18.0,2022,263
Third Down Conv.,5-12,9-15,18.0,2022,263
Fourth Down Conv.,1-2,0-0,18.0,2022,263
Time of Possession,29:04,30:56,18.0,2022,263
