Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Patrick Mahomes,KAN,3,29,0,14,18.0,2022,256
Isiah Pacheco,KAN,8,64,1,31,18.0,2022,256
Ronald Jones II,KAN,10,45,1,13,18.0,2022,256
Kadarius Toney,KAN,3,26,1,14,18.0,2022,256
Jerick McKinnon,KAN,2,6,0,7,18.0,2022,256
Justin Watson,KAN,0,0,0,0,18.0,2022,256
Travis Kelce,KAN,0,0,0,0,18.0,2022,256
JuJu Smith-Schuster,KAN,0,0,0,0,18.0,2022,256
Marquez Valdes-Scantling,KAN,0,0,0,0,18.0,2022,256
Noah Gray,KAN,0,0,0,0,18.0,2022,256
Blake Bell,KAN,0,0,0,0,18.0,2022,256
Chad Henne,KAN,2,-2,0,-1,18.0,2022,256
Jarrett Stidham,LVR,7,50,0,10,18.0,2022,256
Josh Jacobs,LVR,17,45,0,12,18.0,2022,256
Zamir White,LVR,1,4,0,4,18.0,2022,256
Davante Adams,LVR,0,0,0,0,18.0,2022,256
Hunter Renfrow,LVR,0,0,0,0,18.0,2022,256
Darren Waller,LVR,0,0,0,0,18.0,2022,256
Mack Hollins,LVR,0,0,0,0,18.0,2022,256
Foster Moreau,LVR,0,0,0,0,18.0,2022,256
Ameer Abdullah,LVR,0,0,0,0,18.0,2022,256
Keelan Cole,LVR,0,0,0,0,18.0,2022,256
Jakob Johnson,LVR,0,0,0,0,18.0,2022,256
