Unnamed: 0,KAN,LVR,week,year,game_id
First Downs,21,21,18.0,2022,256
Rush-Yds-TDs,28-168-3,25-99-0,18.0,2022,256
Cmp-Att-Yd-TD-INT,18-26-202-1-0,22-36-219-1-1,18.0,2022,256
Sacked-Yards,2-21,6-39,18.0,2022,256
Net Pass Yards,181,180,18.0,2022,256
Total Yards,349,279,18.0,2022,256
Fumbles-Lost,0-0,2-1,18.0,2022,256
Turnovers,0,2,18.0,2022,256
Penalties-Yards,5-43,6-47,18.0,2022,256
Third Down Conv.,5-9,8-16,18.0,2022,256
Fourth Down Conv.,0-0,0-2,18.0,2022,256
Time of Possession,25:47,34:13,18.0,2022,256
