Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,18.0,2022,266
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 63 yards, returned by Pharoh Cooper for 18 yards (tackle by Tarvarius Moore)",0.0,0.28,18.0,2022,266
1.0,14:55,1.0,10.0,ARI 20,0.0,0.0,David Blough pass complete short right to Pharoh Cooper for 3 yards (tackle by Charvarius Ward and Fred Warner),0.28,0.14,18.0,2022,266
1.0,14:34,2.0,7.0,ARI 23,6.0,0.0,"David Blough pass complete deep left to A.J. Green for 77 yards, touchdown",0.14,7.0,18.0,2022,266
1.0,14:18,,,SFO 15,6.0,0.0,Matt Prater kicks extra point no good,0.0,-1.0,18.0,2022,266
1.0,14:18,,,ARI 35,6.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,266
1.0,14:18,1.0,10.0,SFO 25,6.0,0.0,Christian McCaffrey up the middle for 9 yards (tackle by Ben Niemann),0.61,1.28,18.0,2022,266
1.0,13:40,2.0,1.0,SFO 34,6.0,0.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 26 yards (tackle by Jace Whittaker),1.28,2.92,18.0,2022,266
1.0,12:57,1.0,10.0,ARI 40,6.0,0.0,Brock Purdy scrambles left end for 13 yards (tackle by Isaiah Simmons and Jace Whittaker),2.92,3.78,18.0,2022,266
1.0,12:15,1.0,10.0,ARI 27,6.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 6 yards (tackle by Jace Whittaker),3.78,4.04,18.0,2022,266
1.0,11:32,2.0,4.0,ARI 21,6.0,0.0,Christian McCaffrey right tackle for no gain (tackle by Myjai Sanders),4.04,3.34,18.0,2022,266
1.0,10:49,3.0,4.0,ARI 21,6.0,6.0,"Brock Purdy pass complete short right to Christian McCaffrey for 21 yards, touchdown",3.34,7.0,18.0,2022,266
1.0,10:40,,,ARI 15,6.0,7.0,Robbie Gould kicks extra point good,0.0,0.0,18.0,2022,266
1.0,10:40,,,SFO 35,6.0,7.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,266
1.0,10:40,1.0,10.0,ARI 25,6.0,7.0,David Blough pass complete short right to Pharoh Cooper for 3 yards (tackle by Talanoa Hufanga),0.61,0.47,18.0,2022,266
1.0,10:03,2.0,7.0,ARI 28,6.0,7.0,David Blough pass incomplete short right intended for A.J. Green,0.47,-0.23,18.0,2022,266
1.0,9:59,3.0,7.0,ARI 28,6.0,7.0,David Blough sacked by and Samson Ebukam for -8 yards and Charles Omenihu for -8 yards,-0.23,-2.03,18.0,2022,266
1.0,9:19,4.0,15.0,ARI 20,6.0,7.0,"Andy Lee punts 50 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Zeke Turner)",-2.03,-1.47,18.0,2022,266
1.0,9:07,1.0,10.0,SFO 38,6.0,7.0,Elijah Mitchell up the middle for 1 yard (tackle by Ben Niemann and Markus Golden),1.47,1.06,18.0,2022,266
1.0,8:29,2.0,9.0,SFO 39,6.0,7.0,Brock Purdy sacked by J.J. Watt for -6 yards,1.06,-0.43,18.0,2022,266
1.0,7:49,3.0,15.0,SFO 33,6.0,7.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,-0.43,-1.18,18.0,2022,266
1.0,7:42,4.0,15.0,SFO 33,6.0,7.0,"Mitch Wishnowsky punts 44 yards, returned by Pharoh Cooper for 7 yards (tackle by Jordan Mason)",-1.18,-0.94,18.0,2022,266
1.0,7:31,1.0,10.0,ARI 30,6.0,7.0,Corey Clement up the middle for 4 yards (tackle by Azeez Al-Shaair and Kerry Hyder),0.94,0.93,18.0,2022,266
1.0,7:00,2.0,6.0,ARI 34,6.0,7.0,"David Blough pass complete short right to Corey Clement for 3 yards (tackle by Fred Warner). Penalty on Pharoh Cooper: Offensive Holding, 10 yards (accepted)",0.93,-0.01,18.0,2022,266
1.0,6:54,2.0,13.0,ARI 27,6.0,7.0,David Blough pass complete short left to Greg Dortch for 10 yards (tackle by Deommodore Lenoir),-0.01,0.63,18.0,2022,266
1.0,5:50,3.0,3.0,ARI 37,6.0,7.0,David Blough pass complete short middle to Greg Dortch for 2 yards (tackle by Jimmie Ward),0.63,-0.78,18.0,2022,266
1.0,5:27,4.0,1.0,ARI 39,6.0,7.0,David Blough up the middle for no gain (tackle by Michael Dwumfour),-0.78,-2.98,18.0,2022,266
1.0,5:16,1.0,10.0,ARI 39,6.0,7.0,Christian McCaffrey right tackle for -2 yards (tackle by Michael Dogbe),2.98,2.17,18.0,2022,266
1.0,4:36,2.0,12.0,ARI 41,6.0,7.0,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by J.J. Watt),2.17,1.49,18.0,2022,266
1.0,4:33,3.0,12.0,ARI 41,6.0,7.0,Brock Purdy sacked by Isaiah Simmons for -17 yards,1.49,-0.59,18.0,2022,266
1.0,3:52,4.0,29.0,SFO 42,6.0,7.0,"Mitch Wishnowsky punts 42 yards, returned by Pharoh Cooper for 10 yards (tackle by George Odum)",-0.59,-0.67,18.0,2022,266
1.0,3:41,1.0,10.0,ARI 26,6.0,7.0,David Blough pass complete short left to Greg Dortch for 3 yards (tackle by Jimmie Ward),0.67,0.47,18.0,2022,266
1.0,3:02,2.0,7.0,ARI 28,6.0,7.0,"David Blough pass incomplete short right intended for Greg Dortch (defended by Jimmie Ward). Penalty on Josh Jones: Offensive Holding, 10 yards (accepted) (no play)",0.47,-0.87,18.0,2022,266
1.0,3:02,2.0,17.0,ARI 19,6.0,7.0,David Blough pass complete short left to Marquise Brown for 7 yards (tackle by Deommodore Lenoir),-0.87,-0.56,18.0,2022,266
1.0,2:26,3.0,10.0,ARI 26,6.0,7.0,David Blough pass complete short right to Corey Clement for 5 yards (tackle by Fred Warner),-0.56,-1.31,18.0,2022,266
1.0,1:44,4.0,5.0,ARI 31,6.0,7.0,"Andy Lee punts 53 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Tanner Vallejo)",-1.31,-0.94,18.0,2022,266
1.0,1:35,1.0,10.0,SFO 30,6.0,7.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Christian Matthew),0.94,1.66,18.0,2022,266
1.0,0:59,1.0,10.0,SFO 41,6.0,7.0,Brock Purdy pass complete short left to George Kittle for 9 yards (tackle by Jalen Thompson and Jace Whittaker),1.66,2.34,18.0,2022,266
1.0,0:24,2.0,1.0,SFO 50,6.0,7.0,Elijah Mitchell left guard for 6 yards (tackle by Isaiah Simmons),2.34,2.65,18.0,2022,266
2.0,15:00,1.0,10.0,ARI 44,6.0,7.0,Brock Purdy pass incomplete short right intended for Jauan Jennings,2.65,2.11,18.0,2022,266
2.0,14:56,2.0,10.0,ARI 44,6.0,7.0,Brock Purdy right end for -8 yards (tackle by Myjai Sanders),2.11,0.37,18.0,2022,266
2.0,14:14,3.0,18.0,SFO 48,6.0,7.0,Brock Purdy pass incomplete short left intended for George Kittle (defended by Jace Whittaker),0.37,-0.19,18.0,2022,266
2.0,14:07,4.0,18.0,SFO 48,6.0,7.0,"Mitch Wishnowsky punts 39 yards, fair catch by Pharoh Cooper at ARI-13",-0.19,0.32,18.0,2022,266
2.0,13:59,1.0,10.0,ARI 13,6.0,7.0,David Blough pass deep left intended for Marquise Brown is intercepted by Tashaun Gipson at ARI-30 and returned for 12 yards (tackle by Greg Dortch),-0.32,-4.37,18.0,2022,266
2.0,13:50,1.0,10.0,ARI 18,6.0,7.0,Christian McCaffrey up the middle for 2 yards (tackle by Tanner Vallejo and Jace Whittaker),4.37,4.09,18.0,2022,266
2.0,13:08,2.0,8.0,ARI 16,6.0,7.0,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Leki Fotu and Christian Matthew),4.09,4.51,18.0,2022,266
2.0,12:22,3.0,2.0,ARI 10,6.0,7.0,"Penalty on Leki Fotu: Encroachment, 5 yards (accepted) (no play)",4.51,6.06,18.0,2022,266
2.0,12:12,1.0,5.0,ARI 5,6.0,13.0,"Elijah Mitchell left guard for 5 yards, touchdown",6.06,7.0,18.0,2022,266
2.0,12:07,,,ARI 15,6.0,14.0,Robbie Gould kicks extra point good,0.0,0.0,18.0,2022,266
2.0,12:07,,,SFO 35,6.0,14.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,266
2.0,12:07,1.0,10.0,ARI 25,6.0,14.0,David Blough pass complete short right to Trey McBride for 23 yards (tackle by Charvarius Ward and Tashaun Gipson),0.61,2.13,18.0,2022,266
2.0,11:43,1.0,10.0,ARI 48,6.0,14.0,Pharoh Cooper right guard for 6 yards (tackle by Fred Warner),2.13,2.39,18.0,2022,266
2.0,11:10,2.0,4.0,SFO 46,6.0,14.0,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",2.39,1.72,18.0,2022,266
2.0,10:49,2.0,9.0,ARI 49,6.0,14.0,David Blough sacked by Nick Bosa for -5 yards,1.72,0.37,18.0,2022,266
2.0,10:10,3.0,14.0,ARI 44,6.0,14.0,David Blough pass complete short middle to Corey Clement for 17 yards (tackle by Deommodore Lenoir),0.37,2.98,18.0,2022,266
2.0,9:37,1.0,10.0,SFO 39,6.0,14.0,"Corey Clement up the middle for no gain (tackle by Azeez Al-Shaair). Penalty on Samson Ebukam: Defensive Offside, 5 yards (accepted) (no play)",2.98,3.71,18.0,2022,266
2.0,9:19,1.0,5.0,SFO 34,6.0,14.0,Greg Dortch right end for 6 yards (tackle by Fred Warner),3.71,3.71,18.0,2022,266
2.0,8:44,1.0,10.0,SFO 28,6.0,14.0,Corey Clement left guard for 1 yard (tackle by Azeez Al-Shaair),3.71,3.3,18.0,2022,266
2.0,8:10,2.0,9.0,SFO 27,6.0,14.0,David Blough up the middle for -2 yards (tackle by T.Y. McGill),3.3,2.34,18.0,2022,266
2.0,7:30,3.0,11.0,SFO 29,6.0,14.0,David Blough pass complete short left to Trey McBride for 11 yards (tackle by Azeez Al-Shaair),2.34,4.37,18.0,2022,266
2.0,6:52,1.0,10.0,SFO 18,6.0,14.0,Greg Dortch left tackle for 9 yards (tackle by Talanoa Hufanga),4.37,5.42,18.0,2022,266
2.0,6:14,2.0,1.0,SFO 9,6.0,14.0,Corey Clement up the middle for 3 yards (tackle by Oren Burks and Javon Kinlaw),5.42,5.83,18.0,2022,266
2.0,5:28,1.0,6.0,SFO 6,6.0,14.0,Corey Clement up the middle for 5 yards (tackle by Tashaun Gipson and Fred Warner),5.83,5.91,18.0,2022,266
