Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bears,-16.0,-5.75,-4.3,1.2,-2.78,-16.54,-21.92,2.77,6.61,5.65,-1.83,4.72,0.66,-0.24,2.34,18.0,2022,262
Vikings,16.0,16.54,21.92,-2.77,-6.61,5.75,4.3,-1.2,2.78,-5.65,-4.72,1.83,0.24,-0.66,-2.34,18.0,2022,262
