Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Dare Ogunbowale,HOU,11,33,0,2,21,1.9,12,1.1,0,,18.0,2022,264
Royce Freeman,HOU,7,15,0,1,8,1.1,7,1.0,0,,18.0,2022,264
Jeff Driskel,HOU,3,7,0,0,5,1.7,2,0.7,0,,18.0,2022,264
Davis Mills,HOU,1,6,0,0,6,6.0,0,0.0,0,,18.0,2022,264
Chris Moore,HOU,1,-2,0,0,-2,-2.0,0,0.0,0,,18.0,2022,264
Zack Moss,IND,18,114,1,5,70,3.9,44,2.4,4,4.5,18.0,2022,264
Deon Jackson,IND,8,35,0,2,23,2.9,12,1.5,0,,18.0,2022,264
Sam Ehlinger,IND,5,21,0,1,18,3.6,3,0.6,0,,18.0,2022,264
Parris Campbell,IND,1,26,0,1,26,26.0,0,0.0,0,,18.0,2022,264
Michael Pittman Jr.,IND,1,0,0,0,0,0.0,0,0.0,0,,18.0,2022,264
