Unnamed: 0,BAL,CIN,week,year,game_id
First Downs,20,15,18.0,2022,259
Rush-Yds-TDs,27-110-1,20-55-1,18.0,2022,259
Cmp-Att-Yd-TD-INT,19-44-286-0-2,25-42-215-1-0,18.0,2022,259
Sacked-Yards,4-10,2-13,18.0,2022,259
Net Pass Yards,276,202,18.0,2022,259
Total Yards,386,257,18.0,2022,259
Fumbles-Lost,2-2,1-1,18.0,2022,259
Turnovers,4,1,18.0,2022,259
Penalties-Yards,5-22,3-35,18.0,2022,259
Third Down Conv.,6-16,5-15,18.0,2022,259
Fourth Down Conv.,0-2,0-1,18.0,2022,259
Time of Possession,28:41,31:19,18.0,2022,259
