Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,18.0,2022,269
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 63 yards, returned by Gary Brightwell for 24 yards (tackle by Patrick Johnson and K'Von Wallace)",0.0,0.67,18.0,2022,269
1.0,14:54,1.0,10.0,NYG 26,0.0,0.0,Matt Breida right guard for 4 yards (tackle by Kyzir White),0.67,0.67,18.0,2022,269
1.0,14:18,2.0,6.0,NYG 30,0.0,0.0,Matt Breida left guard for 3 yards (tackle by Brandon Graham and Linval Joseph),0.67,0.37,18.0,2022,269
1.0,13:42,3.0,3.0,NYG 33,0.0,0.0,Davis Webb pass incomplete short right,0.37,-1.18,18.0,2022,269
1.0,13:37,4.0,3.0,NYG 33,0.0,0.0,"Jamie Gillan punts 46 yards, returned by Britain Covey for 14 yards (tackle by Tomon Fox)",-1.18,-1.27,18.0,2022,269
1.0,13:27,1.0,10.0,PHI 35,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 35 yards (tackle by Cordale Flott),1.27,3.58,18.0,2022,269
1.0,13:00,1.0,10.0,NYG 30,0.0,0.0,Jalen Hurts pass incomplete short right,3.58,3.03,18.0,2022,269
1.0,12:55,2.0,10.0,NYG 30,0.0,0.0,Jalen Hurts pass complete short left to Quez Watkins for 14 yards (tackle by Nick McCloud),3.03,4.51,18.0,2022,269
1.0,12:29,1.0,10.0,NYG 16,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 2 yards (tackle by Rodarius Williams),4.51,4.21,18.0,2022,269
1.0,11:55,2.0,8.0,NYG 14,0.0,0.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,4.21,3.37,18.0,2022,269
1.0,11:50,3.0,8.0,NYG 14,0.0,0.0,Jalen Hurts pass incomplete short left,3.37,2.51,18.0,2022,269
1.0,11:43,4.0,8.0,NYG 14,0.0,3.0,Jake Elliott 32 yard field goal good,2.51,3.0,18.0,2022,269
1.0,11:39,,,PHI 35,0.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,269
1.0,11:39,1.0,10.0,NYG 25,0.0,3.0,Davis Webb pass complete short right to Matt Breida for 1 yard (tackle by C.J. Gardner-Johnson),0.61,0.2,18.0,2022,269
1.0,11:08,2.0,9.0,NYG 26,0.0,3.0,Davis Webb pass incomplete short middle intended for Marcus Johnson (defended by Kyzir White),0.2,-0.49,18.0,2022,269
1.0,11:03,3.0,9.0,NYG 26,0.0,3.0,Davis Webb pass incomplete deep left intended for Marcus Johnson,-0.49,-1.63,18.0,2022,269
1.0,10:55,4.0,9.0,NYG 26,0.0,3.0,Jamie Gillan punts 54 yards downed by Cordale Flott,-1.63,-0.28,18.0,2022,269
1.0,10:41,1.0,10.0,PHI 20,0.0,3.0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Dane Belton),0.28,0.95,18.0,2022,269
1.0,10:18,2.0,1.0,PHI 29,0.0,3.0,Jalen Hurts sacked by and Nick McCloud for -1 yards and Jarrad Davis for -1 yards,0.95,0.1,18.0,2022,269
1.0,9:44,3.0,2.0,PHI 28,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Nick McCloud and Cordale Flott),0.1,1.2,18.0,2022,269
1.0,9:04,1.0,10.0,PHI 34,0.0,3.0,Miles Sanders up the middle for 1 yard (tackle by Oshane Ximines),1.2,0.79,18.0,2022,269
1.0,8:27,2.0,9.0,PHI 35,0.0,3.0,Jalen Hurts pass complete short left to Quez Watkins for no gain (tackle by Rodarius Williams),0.79,0.1,18.0,2022,269
1.0,7:51,3.0,9.0,PHI 35,0.0,3.0,Jalen Hurts pass complete deep left to A.J. Brown for 37 yards (tackle by Rodarius Williams),0.1,3.71,18.0,2022,269
1.0,7:23,1.0,10.0,NYG 28,0.0,3.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Rodarius Williams),3.71,3.84,18.0,2022,269
1.0,6:48,2.0,5.0,NYG 23,0.0,3.0,Miles Sanders left end for 6 yards (tackle by Jason Pinnock),3.84,4.44,18.0,2022,269
1.0,6:16,1.0,10.0,NYG 17,0.0,3.0,Miles Sanders left end for 4 yards (tackle by Jason Pinnock),4.44,4.5,18.0,2022,269
1.0,5:41,2.0,6.0,NYG 13,0.0,3.0,Miles Sanders right end for 6 yards (tackle by Justin Ellis),4.5,5.6,18.0,2022,269
1.0,5:03,1.0,7.0,NYG 7,0.0,3.0,Miles Sanders right tackle for -1 yards (tackle by Tomon Fox),5.6,4.57,18.0,2022,269
1.0,4:20,2.0,8.0,NYG 8,0.0,9.0,"Boston Scott left guard for 8 yards, touchdown",4.57,7.0,18.0,2022,269
1.0,4:14,,,NYG 15,0.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,18.0,2022,269
1.0,4:14,,,PHI 35,0.0,10.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,269
1.0,4:14,1.0,10.0,NYG 25,0.0,10.0,Gary Brightwell left guard for -2 yards (tackle by Milton Williams),0.61,-0.21,18.0,2022,269
1.0,3:44,2.0,12.0,NYG 23,0.0,10.0,Davis Webb pass complete short left to Nick Vannett for 6 yards (tackle by James Bradberry and Reed Blankenship),-0.21,-0.1,18.0,2022,269
1.0,3:05,3.0,6.0,NYG 29,0.0,10.0,Davis Webb pass complete short right to Lawrence Cager for 16 yards (tackle by T.J. Edwards),-0.1,1.93,18.0,2022,269
1.0,2:29,1.0,10.0,NYG 45,0.0,10.0,Gary Brightwell right tackle for 1 yard (tackle by Brandon Graham and Kyzir White),1.93,1.52,18.0,2022,269
1.0,1:47,2.0,9.0,NYG 46,0.0,10.0,"Davis Webb scrambles right end for 8 yards (tackle by T.J. Edwards). Penalty on T.J. Edwards: Unnecessary Roughness / Defense, 15 yards (accepted)",1.52,3.51,18.0,2022,269
1.0,1:20,1.0,10.0,PHI 31,0.0,10.0,Davis Webb pass complete short right to Gary Brightwell for 3 yards (tackle by Kyzir White),3.51,3.37,18.0,2022,269
1.0,0:48,2.0,7.0,PHI 28,0.0,10.0,Gary Brightwell left end for -1 yards (tackle by C.J. Gardner-Johnson),3.37,2.54,18.0,2022,269
