Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Joe Flacco,NYJ,0,0,18.0,2022,265
Zonovan Knight,NYJ,1,0,18.0,2022,265
Ty Johnson,NYJ,0,0,18.0,2022,265
Michael Carter,NYJ,0,0,18.0,2022,265
Garrett Wilson,NYJ,0,0,18.0,2022,265
Corey Davis,NYJ,0,0,18.0,2022,265
Tyler Conklin,NYJ,0,0,18.0,2022,265
Elijah Moore,NYJ,1,0,18.0,2022,265
Jeremy Ruckert,NYJ,0,0,18.0,2022,265
Skylar Thompson,MIA,0,0,18.0,2022,265
Jeff Wilson,MIA,0,0,18.0,2022,265
Raheem Mostert,MIA,0,0,18.0,2022,265
Jaylen Waddle,MIA,0,0,18.0,2022,265
Salvon Ahmed,MIA,0,0,18.0,2022,265
Mike Gesicki,MIA,0,0,18.0,2022,265
Durham Smythe,MIA,0,0,18.0,2022,265
Tyreek Hill,MIA,0,0,18.0,2022,265
River Cracraft,MIA,0,0,18.0,2022,265
Erik Ezukanma,MIA,0,0,18.0,2022,265
