Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,,18.0,2022,268
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler left tackle for 2 yards (tackle by Alex Singleton),0.61,0.33,18.0,2022,268
1.0,14:27,2.0,8.0,LAC 27,0.0,0.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,0.33,-0.36,18.0,2022,268
1.0,14:21,3.0,8.0,LAC 27,0.0,0.0,Justin Herbert pass complete deep right to Keenan Allen for 30 yards (tackle by K'Waun Williams),-0.36,2.72,18.0,2022,268
1.0,13:44,1.0,10.0,DEN 43,0.0,0.0,Justin Herbert pass complete short left to DeAndre Carter for 11 yards (tackle by Josey Jewell),2.72,3.45,18.0,2022,268
1.0,13:10,1.0,10.0,DEN 32,0.0,0.0,Austin Ekeler right end for 12 yards (tackle by Elijah Garcia),3.45,4.24,18.0,2022,268
1.0,12:30,1.0,10.0,DEN 20,0.0,0.0,Austin Ekeler left guard for 3 yards (tackle by Eyioma Uwazurike),4.24,4.12,18.0,2022,268
1.0,12:08,2.0,7.0,DEN 17,0.0,0.0,Justin Herbert pass complete short right to Mike Williams for 3 yards (tackle by Josey Jewell),4.12,3.89,18.0,2022,268
1.0,11:22,3.0,4.0,DEN 14,6.0,0.0,"Justin Herbert pass complete short right to Keenan Allen for 14 yards, touchdown",3.89,7.0,18.0,2022,268
1.0,11:17,,,DEN 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,18.0,2022,268
1.0,11:17,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
1.0,11:17,1.0,10.0,DEN 25,7.0,0.0,Russell Wilson pass complete short right to Courtland Sutton for 7 yards (tackle by Ja'Sir Taylor),0.61,1.01,18.0,2022,268
1.0,10:51,2.0,3.0,DEN 32,7.0,0.0,Latavius Murray right guard for 8 yards (tackle by Breiden Fehoko and Ja'Sir Taylor),1.01,1.6,18.0,2022,268
1.0,10:16,1.0,10.0,DEN 40,7.0,0.0,Latavius Murray left tackle for 3 yards (tackle by Breiden Fehoko),1.6,1.46,18.0,2022,268
1.0,9:42,2.0,7.0,DEN 43,7.0,0.0,"Russell Wilson pass complete to Latavius Murray for no gain. Penalty on Ja'Sir Taylor: Roughing the Passer, 15 yards (accepted) (no play)",1.46,2.79,18.0,2022,268
1.0,9:20,1.0,10.0,LAC 42,7.0,0.0,Russell Wilson pass incomplete deep right intended for Albert Okwuegbunam,2.79,2.24,18.0,2022,268
1.0,9:16,2.0,10.0,LAC 42,7.0,0.0,Chase Edmonds right guard for 2 yards (tackle by Christopher Hinton),2.24,1.82,18.0,2022,268
1.0,8:36,3.0,8.0,LAC 40,7.0,0.0,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Michael Davis),1.82,1.21,18.0,2022,268
1.0,7:53,4.0,1.0,LAC 33,7.0,0.0,Russell Wilson up the middle for 2 yards (tackle by Kyle Van Noy),1.21,3.45,18.0,2022,268
1.0,7:13,1.0,10.0,LAC 32,7.0,0.0,Russell Wilson pass incomplete short right,3.45,2.9,18.0,2022,268
1.0,7:08,2.0,10.0,LAC 32,7.0,0.0,Russell Wilson right guard for 6 yards (tackle by Kenneth Murray),2.9,3.01,18.0,2022,268
1.0,6:27,3.0,4.0,LAC 26,7.0,0.0,Latavius Murray right guard for 5 yards (tackle by Derwin James and Drue Tranquill),3.01,4.17,18.0,2022,268
1.0,5:48,1.0,10.0,LAC 21,7.0,0.0,Jerry Jeudy right end for 13 yards (tackle by Derwin James),4.17,5.37,18.0,2022,268
1.0,5:01,1.0,8.0,LAC 8,7.0,0.0,"Russell Wilson pass complete short middle to Chase Edmonds for -2 yards (tackle by Kenneth Murray). Penalty on Joey Bosa: Face Mask (15 Yards), 4 yards (accepted) (no play)",5.37,6.28,18.0,2022,268
1.0,4:35,1.0,4.0,LAC 4,7.0,0.0,Latavius Murray left guard for 2 yards (tackle by Breiden Fehoko and Morgan Fox),6.28,5.72,18.0,2022,268
