Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss, Dolphins to receive the opening kickoff.",,,18.0,2022,265
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,265
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,Raheem Mostert right guard for 6 yards (tackle by Quincy Williams),0.61,0.87,18.0,2022,265
1.0,14:25,2.0,4.0,MIA 31,0.0,0.0,Raheem Mostert left tackle for 2 yards (tackle by C.J. Mosley and Quincy Williams),0.87,0.43,18.0,2022,265
1.0,13:41,3.0,2.0,MIA 33,0.0,0.0,Skylar Thompson pass complete short left to Tyreek Hill for 8 yards (tackle by D.J. Reed),0.43,1.66,18.0,2022,265
1.0,12:59,1.0,10.0,MIA 41,0.0,0.0,Raheem Mostert left tackle for 7 yards (tackle by Quincy Williams),1.66,2.07,18.0,2022,265
1.0,12:27,2.0,3.0,MIA 48,0.0,0.0,Raheem Mostert up the middle for 3 yards (tackle by Nathan Shepherd and Vinny Curry),2.07,2.32,18.0,2022,265
1.0,11:37,1.0,10.0,NYJ 49,0.0,0.0,Skylar Thompson pass incomplete short middle intended for Tyreek Hill (defended by C.J. Mosley),2.32,1.78,18.0,2022,265
1.0,11:31,2.0,10.0,NYJ 49,0.0,0.0,Skylar Thompson pass complete short left to Mike Gesicki for 3 yards (tackle by Michael Carter),1.78,1.49,18.0,2022,265
1.0,10:50,3.0,7.0,NYJ 46,0.0,0.0,"Penalty on Greg Little: False Start, 5 yards (accepted) (no play)",1.49,0.83,18.0,2022,265
1.0,10:28,3.0,12.0,MIA 49,0.0,0.0,Skylar Thompson pass complete short right to Jaylen Waddle for 7 yards (tackle by C.J. Mosley and Sauce Gardner),0.83,0.33,18.0,2022,265
1.0,9:59,4.0,5.0,NYJ 44,0.0,0.0,Skylar Thompson pass incomplete short right,0.33,-1.86,18.0,2022,265
1.0,9:48,1.0,10.0,NYJ 44,0.0,0.0,Michael Carter left end for 2 yards (tackle by Andrew Van Ginkel),1.86,1.59,18.0,2022,265
1.0,9:13,2.0,8.0,NYJ 46,0.0,0.0,Joe Flacco pass incomplete short left intended for Garrett Wilson (defended by Kader Kohou),1.59,0.89,18.0,2022,265
1.0,9:07,3.0,8.0,NYJ 46,0.0,0.0,Joe Flacco pass complete short right to Elijah Moore for 15 yards,0.89,2.98,18.0,2022,265
1.0,8:42,1.0,10.0,MIA 39,0.0,0.0,Ty Johnson left tackle for -4 yards (tackle by Eric Rowe and Zach Sieler),2.98,1.9,18.0,2022,265
1.0,8:02,2.0,14.0,MIA 43,0.0,0.0,Joe Flacco pass complete short right to Ty Johnson for 1 yard (tackle by Duke Riley),1.9,1.36,18.0,2022,265
1.0,7:20,3.0,13.0,MIA 42,0.0,0.0,Joe Flacco pass incomplete short middle intended for Michael Carter (defended by Christian Wilkins),1.36,0.46,18.0,2022,265
1.0,7:14,4.0,13.0,MIA 42,0.0,0.0,Braden Mann punts 40 yards out of bounds,0.46,0.38,18.0,2022,265
1.0,7:06,1.0,10.0,MIA 2,0.0,0.0,Jeff Wilson right guard for 4 yards (tackle by Solomon Thomas and Jordan Whitehead),-0.38,-0.49,18.0,2022,265
1.0,6:27,2.0,6.0,MIA 6,0.0,0.0,Jeff Wilson right tackle for 2 yards (tackle by Jamien Sherwood and Tony Adams),-0.49,-0.72,18.0,2022,265
1.0,5:46,3.0,4.0,MIA 8,0.0,0.0,Skylar Thompson pass complete short right to Tyreek Hill for 15 yards (tackle by Quincy Williams),-0.72,0.48,18.0,2022,265
1.0,4:58,1.0,10.0,MIA 23,0.0,0.0,Jeff Wilson left end for 12 yards (tackle by Tony Adams and John Franklin-Myers),0.48,1.27,18.0,2022,265
1.0,4:16,1.0,10.0,MIA 35,0.0,0.0,Skylar Thompson pass complete deep right to Durham Smythe for 26 yards (tackle by Sauce Gardner),1.27,2.98,18.0,2022,265
1.0,3:24,1.0,10.0,NYJ 39,0.0,0.0,"Connor Williams aborted snap, recovered by Skylar Thompson at MIA-38 Skylar Thompson for no gain (tackle by Vinny Curry)",2.98,-0.67,18.0,2022,265
1.0,2:37,2.0,33.0,MIA 38,0.0,0.0,Raheem Mostert left end for 6 yards (tackle by Jamien Sherwood),-0.67,-0.49,18.0,2022,265
1.0,1:59,3.0,27.0,MIA 44,0.0,0.0,Skylar Thompson pass complete short right to Erik Ezukanma for 3 yards (tackle by Bryce Huff and Michael Carter),-0.49,-0.26,18.0,2022,265
1.0,1:29,4.0,24.0,MIA 47,0.0,0.0,"Thomas Morstead punts 41 yards, fair catch by Braxton Berrios at NYJ-12",-0.26,0.35,18.0,2022,265
1.0,1:21,1.0,10.0,NYJ 12,0.0,0.0,Zonovan Knight left tackle for 3 yards (tackle by Jerome Baker),-0.35,-0.5,18.0,2022,265
1.0,0:46,2.0,7.0,NYJ 15,0.0,0.0,Zonovan Knight left guard for 1 yard (tackle by John Jenkins and Christian Wilkins),-0.5,-0.95,18.0,2022,265
2.0,15:00,3.0,6.0,NYJ 16,0.0,0.0,Joe Flacco pass complete short right to Garrett Wilson for 5 yards (tackle by Keion Crossen),-0.95,-1.96,18.0,2022,265
2.0,14:20,4.0,1.0,NYJ 21,0.0,0.0,"Braden Mann punts 61 yards, fair catch by Jevon Holland at MIA-18",-1.96,-0.04,18.0,2022,265
2.0,14:11,1.0,10.0,MIA 18,0.0,0.0,Skylar Thompson pass complete short left to Raheem Mostert for 1 yard (tackle by Michael Carter and Quinnen Williams),0.04,-0.32,18.0,2022,265
2.0,13:30,2.0,9.0,MIA 19,0.0,0.0,Raheem Mostert up the middle for 1 yard (tackle by Quinnen Williams and C.J. Mosley),-0.32,-0.91,18.0,2022,265
2.0,12:47,3.0,8.0,MIA 20,0.0,0.0,Skylar Thompson pass incomplete deep right intended for Tyreek Hill,-0.91,-2.03,18.0,2022,265
2.0,12:41,4.0,8.0,MIA 20,0.0,0.0,"Thomas Morstead punts 55 yards, returned by Braxton Berrios for 20 yards (tackle by Blake Ferguson)",-2.03,-1.93,18.0,2022,265
2.0,12:25,1.0,10.0,NYJ 45,0.0,0.0,Joe Flacco pass incomplete deep left intended for Tyler Conklin,1.93,1.38,18.0,2022,265
