Quarter,Time,Tm,Detail,TEN,JAX,week,year,game_id
1.0,1:23,Titans,Randy Bullock 51 yard field goal,3,0,18.0,2022,257
2.0,5:32,Titans,Chigoziem Okonkwo 21 yard pass from Joshua Dobbs (Randy Bullock kick),10,0,18.0,2022,257
,2:36,Jaguars,Christian Kirk 25 yard pass from Trevor Lawrence (Riley Patterson kick),10,7,18.0,2022,257
,0:00,Titans,Randy Bullock 39 yard field goal,13,7,18.0,2022,257
3.0,10:09,Jaguars,Riley Patterson 26 yard field goal,13,10,18.0,2022,257
,6:02,Titans,Randy Bullock 41 yard field goal,16,10,18.0,2022,257
4.0,14:49,Jaguars,Riley Patterson 36 yard field goal,16,13,18.0,2022,257
,2:51,Jaguars,Josh Hines-Allen 37 yard fumble return (Riley Patterson kick),16,20,18.0,2022,257
