Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Anthony Brown,BAL,0,0,0,0,0,18.0,2022,259
Kenyan Drake,BAL,5,2,19,0,10,18.0,2022,259
Justice Hill,BAL,0,0,0,0,0,18.0,2022,259
Gus Edwards,BAL,0,0,0,0,0,18.0,2022,259
Isaiah Likely,BAL,13,8,103,0,28,18.0,2022,259
Sammy Watkins,BAL,4,2,79,0,47,18.0,2022,259
Charlie Kolar,BAL,6,4,49,0,15,18.0,2022,259
Demarcus Robinson,BAL,9,2,24,0,13,18.0,2022,259
Tylan Wallace,BAL,1,1,12,0,12,18.0,2022,259
Josh Oliver,BAL,1,0,0,0,0,18.0,2022,259
James Proche,BAL,3,0,0,0,0,18.0,2022,259
Joe Burrow,CIN,0,0,0,0,0,18.0,2022,259
Joe Mixon,CIN,5,5,41,0,33,18.0,2022,259
Samaje Perine,CIN,1,1,4,0,4,18.0,2022,259
Ja'Marr Chase,CIN,13,8,86,1,26,18.0,2022,259
Tyler Boyd,CIN,7,5,51,0,22,18.0,2022,259
Hayden Hurst,CIN,5,4,14,0,7,18.0,2022,259
Trenton Irwin,CIN,2,1,12,0,12,18.0,2022,259
Tee Higgins,CIN,7,1,7,0,7,18.0,2022,259
