Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Tom Brady,TAM,0,0,0,0,0,18.0,2022,260
Kyle Trask,TAM,0,0,0,0,0,18.0,2022,260
Blaine Gabbert,TAM,0,0,0,0,0,18.0,2022,260
Giovani Bernard,TAM,2,2,-1,0,6,18.0,2022,260
Ke'Shawn Vaughn,TAM,2,2,8,0,8,18.0,2022,260
Deven Thompkins,TAM,9,4,25,0,13,18.0,2022,260
Rachaad White,TAM,0,0,0,0,0,18.0,2022,260
Chris Godwin,TAM,7,6,55,0,17,18.0,2022,260
Russell Gage,TAM,6,3,15,1,7,18.0,2022,260
Breshad Perriman,TAM,2,1,9,0,9,18.0,2022,260
Kyle Rudolph,TAM,1,1,8,1,8,18.0,2022,260
Scott Miller,TAM,2,1,8,0,8,18.0,2022,260
Cade Otton,TAM,1,1,5,0,5,18.0,2022,260
Leonard Fournette,TAM,1,1,4,0,4,18.0,2022,260
Desmond Ridder,ATL,0,0,0,0,0,18.0,2022,260
Tyler Allgeier,ATL,0,0,0,0,0,18.0,2022,260
Cordarrelle Patterson,ATL,3,2,1,0,4,18.0,2022,260
Avery Williams,ATL,0,0,0,0,0,18.0,2022,260
Drake London,ATL,8,6,120,0,40,18.0,2022,260
Olamide Zaccheaus,ATL,7,4,37,1,17,18.0,2022,260
MyCole Pruitt,ATL,5,3,34,1,29,18.0,2022,260
Frank Darby,ATL,1,1,15,0,15,18.0,2022,260
Anthony Firkser,ATL,1,1,11,0,11,18.0,2022,260
Parker Hesse,ATL,1,1,6,0,6,18.0,2022,260
Damiere Byrd,ATL,1,1,0,0,0,18.0,2022,260
Josh Ali,ATL,1,0,0,0,0,18.0,2022,260
