Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,18.0,2022,267
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 67 yards, returned by KaVontae Turpin for 22 yards (tackle by Joey Slye and Shaka Toney). Penalty on Tyler Coyle: Defensive Holding, 10 yards (accepted)",0.0,-0.38,18.0,2022,267
1.0,14:54,1.0,10.0,DAL 10,0.0,0.0,Ezekiel Elliott left tackle for 1 yard (tackle by Chase Young),-0.38,-0.71,18.0,2022,267
1.0,14:25,2.0,9.0,DAL 11,0.0,0.0,Ezekiel Elliott for 4 yards (tackle by John Ridgeway),-0.71,-0.84,18.0,2022,267
1.0,13:49,3.0,5.0,DAL 15,0.0,0.0,Dak Prescott pass complete short middle to Noah Brown for 10 yards (tackle by Montez Sweat),-0.84,0.61,18.0,2022,267
1.0,13:09,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass incomplete short right,0.61,0.06,18.0,2022,267
1.0,13:05,2.0,10.0,DAL 25,0.0,0.0,Tony Pollard left end for 5 yards (tackle by Percy Butler and David Mayo),0.06,0.04,18.0,2022,267
1.0,12:26,3.0,5.0,DAL 30,0.0,0.0,Tony Pollard left tackle for 3 yards (tackle by Darrick Forrest and David Mayo),0.04,-1.18,18.0,2022,267
1.0,11:52,4.0,2.0,DAL 33,0.0,0.0,"Bryan Anger aborted snap, recovered by Bryan Anger at DAL-33 and returned for -14 yards Bryan Anger for -13 yards (tackle by Milo Eifler)",-1.18,-4.24,18.0,2022,267
1.0,11:45,1.0,10.0,DAL 20,0.0,0.0,Jonathan Williams up the middle for 4 yards (tackle by DaRon Bland),4.24,4.28,18.0,2022,267
1.0,11:14,2.0,6.0,DAL 16,0.0,6.0,"Sam Howell pass complete short middle to Terry McLaurin for 16 yards, touchdown",4.28,7.0,18.0,2022,267
1.0,11:08,,,DAL 15,0.0,7.0,Joey Slye kicks extra point good,0.0,0.0,18.0,2022,267
1.0,11:08,,,WAS 35,0.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,267
1.0,11:08,1.0,10.0,DAL 25,0.0,7.0,Dak Prescott pass incomplete short right intended for T.Y. Hilton,0.61,0.06,18.0,2022,267
1.0,11:04,2.0,10.0,DAL 25,0.0,7.0,Tony Pollard right end for 3 yards (tackle by Jeremy Reaves and Khaleke Hudson),0.06,-0.23,18.0,2022,267
1.0,10:29,3.0,7.0,DAL 28,0.0,7.0,Dak Prescott sacked by Efe Obada for -10 yards,-0.23,-2.24,18.0,2022,267
1.0,9:48,4.0,17.0,DAL 18,0.0,7.0,"Bryan Anger punts 50 yards, returned by Dax Milne for 6 yards (tackle by C.J. Goodwin)",-2.24,-1.47,18.0,2022,267
1.0,9:37,1.0,10.0,WAS 38,0.0,7.0,Sam Howell pass incomplete short right,1.47,0.92,18.0,2022,267
1.0,9:32,2.0,10.0,WAS 38,0.0,7.0,Jonathan Williams right tackle for 6 yards (tackle by Anthony Barr and Micah Parsons),0.92,1.02,18.0,2022,267
1.0,8:56,3.0,4.0,WAS 44,0.0,7.0,Sam Howell pass incomplete short right intended for Terry McLaurin,1.02,-0.46,18.0,2022,267
1.0,8:51,4.0,4.0,WAS 44,0.0,7.0,"Tress Way punts 41 yards, recovered by Christian Holmes at DAL-15 (tackle by KaVontae Turpin)",-0.46,4.58,18.0,2022,267
1.0,8:42,1.0,10.0,DAL 15,0.0,7.0,Jonathan Williams right end for 2 yards (tackle by Carlos Watkins),4.58,4.28,18.0,2022,267
1.0,8:06,2.0,8.0,DAL 13,0.0,7.0,Jonathan Williams left end for 3 yards (tackle by Dorance Armstrong),4.28,4.0,18.0,2022,267
1.0,7:29,3.0,5.0,DAL 10,0.0,7.0,Sam Howell sacked by and Micah Parsons for -3 yards and Dorance Armstrong for -3 yards,4.0,2.57,18.0,2022,267
1.0,6:41,4.0,8.0,DAL 13,0.0,7.0,Joey Slye 31 yard field goal no good,2.57,-0.34,18.0,2022,267
1.0,6:35,1.0,10.0,DAL 21,0.0,7.0,Dak Prescott pass complete short middle to Jake Ferguson for 4 yards (tackle by Darrick Forrest),0.34,0.34,18.0,2022,267
1.0,6:05,2.0,6.0,DAL 25,0.0,7.0,Ezekiel Elliott left end for no gain (tackle by Percy Butler),0.34,-0.36,18.0,2022,267
1.0,5:36,3.0,6.0,DAL 25,0.0,7.0,Dak Prescott scrambles right end for 2 yards (tackle by Daron Payne),-0.36,-1.57,18.0,2022,267
1.0,4:50,4.0,4.0,DAL 27,0.0,7.0,"Bryan Anger punts 41 yards, recovered by Dax Milne at WAS-33",-1.57,-1.14,18.0,2022,267
1.0,4:45,1.0,10.0,WAS 33,0.0,7.0,"Sam Howell pass complete short left to Jaret Patterson for no gain. Penalty on Trevon Diggs: Defensive Holding, 5 yards (accepted) (no play)",1.14,1.47,18.0,2022,267
1.0,4:23,1.0,10.0,WAS 38,0.0,7.0,Armani Rogers left end for 2 yards (tackle by Anthony Barr and Chauncey Golston),1.47,1.19,18.0,2022,267
1.0,3:40,2.0,8.0,WAS 40,0.0,7.0,"Sam Howell pass complete short right to Curtis Samuel for -2 yards (tackle by DaRon Bland). Penalty on Trai Turner: Ineligible Downfield Pass, 5 yards (declined)",1.19,0.23,18.0,2022,267
1.0,3:13,3.0,10.0,WAS 38,0.0,7.0,"Sam Howell pass incomplete deep right intended for Terry McLaurin. Penalty on Trayvon Mullen: Defensive Pass Interference, 24 yards (accepted) (no play)",0.23,3.05,18.0,2022,267
1.0,3:06,1.0,10.0,DAL 38,0.0,7.0,Jaret Patterson right end for 5 yards (tackle by Jayron Kearse),3.05,3.18,18.0,2022,267
1.0,2:30,2.0,5.0,DAL 33,0.0,7.0,Sam Howell scrambles right tackle for 10 yards (tackle by Trayvon Mullen),3.18,4.04,18.0,2022,267
1.0,1:48,1.0,10.0,DAL 23,0.0,7.0,Sam Howell sacked by Sam Williams for -3 yards,4.04,3.16,18.0,2022,267
1.0,1:22,2.0,12.0,DAL 26,0.0,7.0,Jaret Patterson right tackle for 14 yards (tackle by Neville Gallimore and Anthony Barr),3.16,4.78,18.0,2022,267
1.0,0:55,1.0,10.0,DAL 12,0.0,7.0,Jaret Patterson left guard for 3 yards (tackle by Chauncey Golston and Neville Gallimore),4.78,4.64,18.0,2022,267
1.0,0:14,2.0,7.0,DAL 9,0.0,7.0,Jaret Patterson right tackle for 1 yard (tackle by Chauncey Golston),4.64,3.93,18.0,2022,267
2.0,15:00,3.0,6.0,DAL 8,0.0,7.0,Sam Howell pass complete short left to Terry McLaurin for 6 yards (tackle by Trayvon Mullen),3.93,6.74,18.0,2022,267
2.0,14:13,1.0,2.0,DAL 2,0.0,7.0,Jonathan Williams left guard for -3 yards (tackle by Malik Hooker and Dorance Armstrong),6.74,5.15,18.0,2022,267
2.0,13:34,2.0,5.0,DAL 5,0.0,7.0,Sam Howell pass short left intended for Cam Sims is intercepted by Malik Hooker in end zone and returned for no gain,5.15,-0.28,18.0,2022,267
2.0,13:27,1.0,10.0,DAL 20,0.0,7.0,Tony Pollard left guard for 4 yards (tackle by John Ridgeway and Benning Potoa'e),0.28,0.27,18.0,2022,267
2.0,12:52,2.0,6.0,DAL 24,0.0,7.0,Dak Prescott pass incomplete short right intended for Michael Gallup,0.27,-0.43,18.0,2022,267
