Quarter,Time,Tm,Detail,DAL,WAS,week,year,game_id
1.0,11:08,Commanders,Terry McLaurin 16 yard pass from Sam Howell (Joey Slye kick),0,7,18.0,2022,267
2.0,12:38,Commanders,Kendall Fuller 29 yard interception return (Joey Slye kick failed),0,13,18.0,2022,267
,0:06,Cowboys,CeeDee Lamb 15 yard pass from Dak Prescott (Brett Maher kick failed),6,13,18.0,2022,267
3.0,1:49,Commanders,Sam Howell 9 yard rush (Joey Slye kick),6,20,18.0,2022,267
4.0,14:19,Commanders,Joey Slye 29 yard field goal,6,23,18.0,2022,267
,5:19,Commanders,Joey Slye 22 yard field goal,6,26,18.0,2022,267
