Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,18.0,2022,260
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 59 yards, returned by Deven Thompkins for 24 yards (tackle by Keith Smith)",0.0,0.94,18.0,2022,260
1.0,14:55,1.0,10.0,TAM 30,0.0,0.0,Rachaad White right guard for 2 yards (tackle by Rashaan Evans and Richie Grant),0.94,0.66,18.0,2022,260
1.0,14:20,2.0,8.0,TAM 32,0.0,0.0,Tom Brady pass complete deep right to Chris Godwin for 17 yards,0.66,2.19,18.0,2022,260
1.0,13:51,1.0,10.0,TAM 49,0.0,0.0,Tom Brady pass complete short left to Chris Godwin for 8 yards (tackle by Richie Grant),2.19,2.73,18.0,2022,260
1.0,13:18,2.0,2.0,ATL 43,0.0,0.0,Rachaad White right tackle for 3 yards (tackle by Richie Grant and Abdullah Anderson),2.73,2.92,18.0,2022,260
1.0,12:41,1.0,10.0,ATL 40,0.0,0.0,Deven Thompkins right end for 17 yards (tackle by Isaiah Oliver),2.92,4.04,18.0,2022,260
1.0,11:57,1.0,10.0,ATL 23,0.0,0.0,Tom Brady pass incomplete short left intended for Chris Godwin (defended by Isaiah Oliver),4.04,3.5,18.0,2022,260
1.0,11:52,2.0,10.0,ATL 23,0.0,0.0,Rachaad White right tackle for 6 yards (tackle by Rashaan Evans and Jaleel Johnson),3.5,3.66,18.0,2022,260
1.0,11:08,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2022,260
1.0,11:08,3.0,4.0,ATL 17,0.0,0.0,Tom Brady pass complete short middle to Cade Otton for 5 yards (tackle by Isaiah Oliver),3.66,4.78,18.0,2022,260
1.0,10:32,1.0,10.0,ATL 12,0.0,0.0,Rachaad White right guard for 4 yards (tackle by Matt Dickerson and Grady Jarrett),4.78,4.83,18.0,2022,260
1.0,9:53,2.0,6.0,ATL 8,6.0,0.0,"Tom Brady pass complete short right to Kyle Rudolph for 8 yards, touchdown",4.83,7.0,18.0,2022,260
1.0,9:47,,,ATL 15,7.0,0.0,Ryan Succop kicks extra point good,0.0,0.0,18.0,2022,260
1.0,9:47,,,TAM 35,7.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
1.0,9:47,1.0,10.0,ATL 25,7.0,0.0,Tyler Allgeier right end for -2 yards (tackle by Akiem Hicks),0.61,-0.21,18.0,2022,260
