Unnamed: 0,NWE,BUF,week,year,game_id
First Downs,20,18,18.0,2022,258
Rush-Yds-TDs,23-107-0,25-90-0,18.0,2022,258
Cmp-Att-Yd-TD-INT,26-40-243-3-3,19-31-254-3-1,18.0,2022,258
Sacked-Yards,1-9,2-17,18.0,2022,258
Net Pass Yards,234,237,18.0,2022,258
Total Yards,341,327,18.0,2022,258
Fumbles-Lost,1-0,2-2,18.0,2022,258
Turnovers,3,3,18.0,2022,258
Penalties-Yards,2-20,2-20,18.0,2022,258
Third Down Conv.,4-13,7-12,18.0,2022,258
Fourth Down Conv.,2-2,0-0,18.0,2022,258
Time of Possession,32:37,27:23,18.0,2022,258
