Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,,18.0,2022,264
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,264
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Davis Mills pass complete short right to Brandin Cooks for 33 yards (tackle by Julian Blackmon),0.61,2.79,18.0,2022,264
1.0,14:26,1.0,10.0,IND 42,0.0,0.0,Dare Ogunbowale up the middle for 4 yards (tackle by Zaire Franklin),2.79,2.78,18.0,2022,264
1.0,13:48,2.0,6.0,IND 38,0.0,0.0,Davis Mills pass complete short right to Jordan Akins for 15 yards (tackle by Julian Blackmon and Rodney McLeod),2.78,4.04,18.0,2022,264
1.0,13:05,1.0,10.0,IND 23,0.0,0.0,Jeff Driskel left end for 1 yard (tackle by Brandon Facyson),4.04,3.63,18.0,2022,264
1.0,12:35,2.0,9.0,IND 22,0.0,0.0,Davis Mills pass complete short middle to Teagan Quitoriano for 9 yards (tackle by Rodney McLeod),3.63,4.71,18.0,2022,264
1.0,11:55,1.0,10.0,IND 13,0.0,0.0,Dare Ogunbowale right tackle for 2 yards (tackle by Bobby Okereke and Dallis Flowers),4.71,4.39,18.0,2022,264
1.0,11:22,2.0,8.0,IND 11,6.0,0.0,"Davis Mills pass complete short middle to Brandin Cooks for 11 yards, touchdown",4.39,7.0,18.0,2022,264
1.0,11:17,,,IND 15,7.0,0.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,18.0,2022,264
1.0,11:17,,,HOU 35,7.0,0.0,"Ka'imi Fairbairn kicks off 72 yards, returned by Dallis Flowers for 25 yards. Dallis Flowers fumbles (forced by Neville Hewitt), recovered by M.J. Stewart at IND-18 (tackle by Neville Hewitt)",0.0,-4.37,18.0,2022,264
1.0,11:11,1.0,10.0,IND 18,7.0,0.0,Davis Mills pass incomplete deep left intended for Jordan Akins,4.37,3.8,18.0,2022,264
1.0,11:05,2.0,10.0,IND 18,7.0,0.0,Royce Freeman right end for -7 yards (tackle by Dayo Odeyingbo),3.8,2.21,18.0,2022,264
1.0,10:22,3.0,17.0,IND 25,7.0,0.0,Davis Mills scrambles right end for 6 yards (tackle by Bobby Okereke),2.21,2.18,18.0,2022,264
1.0,9:44,4.0,11.0,IND 19,10.0,0.0,Ka'imi Fairbairn 37 yard field goal good,2.18,3.0,18.0,2022,264
1.0,9:40,,,HOU 35,10.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,264
1.0,9:40,1.0,10.0,IND 25,10.0,0.0,Sam Ehlinger pass complete short right to Alec Pierce for 13 yards (tackle by Jalen Pitre),0.61,1.47,18.0,2022,264
1.0,9:04,1.0,10.0,IND 38,10.0,0.0,Zack Moss up the middle for 34 yards (tackle by Tremon Smith and Christian Harris),1.47,3.71,18.0,2022,264
1.0,8:29,1.0,10.0,HOU 28,10.0,0.0,Zack Moss up the middle for 4 yards (tackle by Jonathan Owens),3.71,3.71,18.0,2022,264
1.0,7:44,2.0,6.0,HOU 24,10.0,0.0,Sam Ehlinger pass incomplete deep left intended for Michael Pittman,3.71,3.01,18.0,2022,264
1.0,7:40,3.0,6.0,HOU 24,10.0,0.0,"Sam Ehlinger pass incomplete intended for Alec Pierce. Penalty on Maliek Collins: Defensive Offside, 5 yards (accepted) (no play)",3.01,3.72,18.0,2022,264
1.0,7:34,3.0,1.0,HOU 19,10.0,0.0,Deon Jackson right tackle for no gain (tackle by Kurt Hinish and Christian Harris),3.72,2.34,18.0,2022,264
1.0,6:57,4.0,1.0,HOU 19,10.0,0.0,Sam Ehlinger scrambles right end for 5 yards (tackle by Jonathan Greenard and Jonathan Owens),2.34,4.65,18.0,2022,264
1.0,6:18,1.0,10.0,HOU 14,10.0,0.0,"Sam Ehlinger aborted snap, recovered by Quenton Nelson at HOU-15 Quenton Nelson for no gain",4.65,3.72,18.0,2022,264
1.0,5:37,2.0,12.0,HOU 16,10.0,0.0,Zack Moss left guard for 7 yards (tackle by Jalen Pitre and Jonathan Owens),3.72,4.05,18.0,2022,264
1.0,4:52,3.0,5.0,HOU 9,10.0,0.0,Sam Ehlinger scrambles left tackle for 4 yards (tackle by Christian Harris),4.05,3.03,18.0,2022,264
1.0,4:45,4.0,1.0,HOU 5,10.0,0.0,"Penalty on Tavierre Thomas: Unnecessary Roughness / Defense, 3 yards (accepted) (no play)",3.03,6.74,18.0,2022,264
1.0,4:33,1.0,2.0,HOU 2,10.0,0.0,Zack Moss right guard for 1 yard (tackle by Jalen Pitre),6.74,5.91,18.0,2022,264
1.0,3:59,2.0,1.0,HOU 1,10.0,6.0,"Sam Ehlinger pass complete short middle to Michael Pittman for 1 yard, touchdown",5.91,7.0,18.0,2022,264
1.0,3:56,,,HOU 15,10.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,18.0,2022,264
1.0,3:56,,,IND 35,10.0,7.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,264
1.0,3:56,1.0,10.0,HOU 25,10.0,7.0,Dare Ogunbowale up the middle for 2 yards (tackle by Rodney McLeod and Bobby Okereke),0.61,0.33,18.0,2022,264
1.0,3:17,2.0,8.0,HOU 27,10.0,7.0,Davis Mills pass complete short right to Dare Ogunbowale for 2 yards (tackle by Bobby Okereke and Rodney McLeod),0.33,-0.1,18.0,2022,264
1.0,2:32,3.0,6.0,HOU 29,10.0,7.0,Davis Mills pass complete deep left to Brandin Cooks for 23 yards (tackle by Julian Blackmon),-0.1,2.39,18.0,2022,264
1.0,1:51,1.0,10.0,IND 48,10.0,7.0,Jeff Driskel pass complete short middle to Amari Rodgers for 3 yards. Amari Rodgers fumbles (forced by Zaire Franklin). Amari Rodgers fumbles out of bounds,2.39,2.25,18.0,2022,264
