Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,,18.0,2022,262
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, returned by Velus Jones for 21 yards (tackle by Kris Boyd)",0.0,0.34,18.0,2022,262
1.0,14:53,1.0,10.0,CHI 21,0.0,0.0,Nathan Peterman pass complete short right to Equanimeous St. Brown for 3 yards (tackle by Duke Shelley),0.34,0.21,18.0,2022,262
1.0,14:10,2.0,7.0,CHI 24,0.0,0.0,Khalil Herbert left end for 6 yards (tackle by Josh Metellus),0.21,0.3,18.0,2022,262
1.0,13:23,3.0,1.0,CHI 30,0.0,0.0,David Montgomery right guard for no gain (tackle by Eric Kendricks and Danielle Hunter),0.3,-1.37,18.0,2022,262
1.0,12:37,4.0,1.0,CHI 30,0.0,0.0,Trenton Gill punts 43 yards downed by Adrian Colbert,-1.37,-0.74,18.0,2022,262
1.0,12:29,1.0,10.0,MIN 27,0.0,0.0,Dalvin Cook left end for -2 yards (tackle by Justin Jones and Joe Thomas),0.74,-0.07,18.0,2022,262
1.0,11:52,2.0,12.0,MIN 25,0.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Joe Thomas),-0.07,-0.1,18.0,2022,262
1.0,11:09,3.0,7.0,MIN 30,0.0,0.0,Kirk Cousins pass complete deep left to K.J. Osborn for 66 yards (tackle by Elijah Hicks),-0.1,6.28,18.0,2022,262
1.0,10:16,1.0,4.0,CHI 4,6.0,0.0,"Kirk Cousins pass complete short middle to Adam Thielen for 4 yards, touchdown",6.28,7.0,18.0,2022,262
1.0,10:12,,,CHI 15,6.0,0.0,Greg Joseph kicks extra point no good,0.0,-1.0,18.0,2022,262
1.0,10:12,,,MIN 35,6.0,0.0,"Greg Joseph kicks off 56 yards, returned by Velus Jones for 25 yards (tackle by Camryn Bynum and Ty Chandler)",0.0,1.2,18.0,2022,262
1.0,10:04,1.0,10.0,CHI 34,6.0,0.0,Nathan Peterman scrambles left end for 6 yards (tackle by Chandon Sullivan),1.2,1.47,18.0,2022,262
