Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Deshaun Watson,CLE,19,29,230,11,30.6,217,7.5,109,5.7,3.8,121,6.4,0,0.0%,3,11.1%,7,7,1,1,9,21.4%,6,7.3,18.0,2022,263
Kenny Pickett,PIT,13,29,195,10,33.3,322,11.1,124,9.5,4.3,71,5.5,3,10.7%,8,28.6%,1,9,4,1,6,19.4%,1,1.0,18.0,2022,263
