Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,18.0,2022,270
1,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,270
1,15:00,1.0,10.0,SEA 25,0.0,0.0,Geno Smith pass short middle intended for D.K. Metcalf is intercepted by Jalen Ramsey at SEA-39 and returned for 28 yards (tackle by Kenneth Walker),0.61,-4.84,18.0,2022,270
1,14:50,1.0,10.0,SEA 11,0.0,0.0,Baker Mayfield pass incomplete short right intended for Tyler Higbee (defended by Uchenna Nwosu),4.84,4.14,18.0,2022,270
1,14:49,2.0,10.0,SEA 11,0.0,0.0,Cam Akers right guard for 4 yards (tackle by Shelby Harris),4.14,3.98,18.0,2022,270
1,14:12,3.0,6.0,SEA 7,0.0,0.0,Baker Mayfield pass complete short left to Cam Akers for 3 yards (tackle by Cody Barton),3.98,3.03,18.0,2022,270
1,13:31,4.0,3.0,SEA 4,3.0,0.0,Matt Gay 22 yard field goal good,3.03,3.0,18.0,2022,270
1,13:28,,,LAR 35,3.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,270
1,13:28,1.0,10.0,SEA 25,3.0,0.0,Kenneth Walker left guard for 5 yards (tackle by Marquise Copeland and Leonard Floyd),0.61,0.74,18.0,2022,270
1,12:52,2.0,5.0,SEA 30,3.0,0.0,Kenneth Walker right guard for 9 yards (tackle by Ernest Jones and Earnest Brown),0.74,1.53,18.0,2022,270
1,12:10,1.0,10.0,SEA 39,3.0,0.0,Geno Smith pass complete short left to Noah Fant for 3 yards (tackle by Russ Yeast),1.53,1.39,18.0,2022,270
1,11:35,2.0,7.0,SEA 42,3.0,0.0,Kenneth Walker right guard for 1 yard (tackle by Earnest Brown),1.39,0.83,18.0,2022,270
1,10:59,3.0,6.0,SEA 43,3.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Troy Hill),0.83,2.26,18.0,2022,270
1,10:23,1.0,10.0,SEA 50,3.0,0.0,Kenneth Walker left guard for 9 yards (tackle by Bobby Wagner),2.26,2.93,18.0,2022,270
1,9:49,2.0,1.0,LAR 41,3.0,0.0,DeeJay Dallas left guard for 27 yards (tackle by Russ Yeast),2.93,4.65,18.0,2022,270
