Quarter,Time,Tm,Detail,DET,GNB,week,year,game_id
1.0,11:21,Packers,Mason Crosby 22 yard field goal,0,3,18.0,2022,271
,7:00,Lions,Michael Badgley 37 yard field goal,3,3,18.0,2022,271
,1:54,Packers,Mason Crosby 49 yard field goal,3,6,18.0,2022,271
2.0,12:56,Packers,Mason Crosby 48 yard field goal,3,9,18.0,2022,271
,0:00,Lions,Michael Badgley 33 yard field goal,6,9,18.0,2022,271
3.0,8:05,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),13,9,18.0,2022,271
,3:17,Packers,Allen Lazard 13 yard pass from Aaron Rodgers (Mason Crosby kick),13,16,18.0,2022,271
4.0,5:55,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),20,16,18.0,2022,271
