Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Saints to receive the opening kickoff.",,,18.0,2022,261
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,261
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Alvin Kamara right guard for 5 yards (tackle by Derrick Brown),0.61,0.74,18.0,2022,261
1.0,14:29,2.0,5.0,NOR 30,0.0,0.0,Andy Dalton pass complete short right to Chris Olave for 7 yards (tackle by Josh Norman),0.74,1.4,18.0,2022,261
1.0,13:55,1.0,10.0,NOR 37,0.0,0.0,Andy Dalton pass complete short right to Rashid Shaheed for 6 yards (tackle by Jeremy Chinn),1.4,1.67,18.0,2022,261
1.0,13:22,2.0,4.0,NOR 43,0.0,0.0,Alvin Kamara left guard for 8 yards (tackle by Shaq Thompson),1.67,2.32,18.0,2022,261
1.0,12:45,1.0,10.0,CAR 49,0.0,0.0,Eno Benjamin right end for 1 yard (tackle by Frankie Luvu),2.32,1.92,18.0,2022,261
1.0,12:09,2.0,9.0,CAR 48,0.0,0.0,Andy Dalton pass complete short right to David Johnson for 21 yards (tackle by Josh Norman and Xavier Woods),1.92,3.78,18.0,2022,261
1.0,11:31,1.0,10.0,CAR 27,0.0,0.0,Alvin Kamara left guard for 2 yards (tackle by Xavier Woods and Derrick Brown),3.78,3.5,18.0,2022,261
1.0,11:08,2.0,8.0,CAR 25,0.0,6.0,"Andy Dalton pass complete short left to Chris Olave for 25 yards, touchdown",3.5,7.0,18.0,2022,261
1.0,11:01,,,CAR 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,18.0,2022,261
1.0,11:01,,,NOR 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,261
1.0,11:01,1.0,10.0,CAR 25,0.0,7.0,D'Onta Foreman left guard for 6 yards (tackle by Tyrann Mathieu and Demario Davis),0.61,0.87,18.0,2022,261
1.0,10:22,2.0,4.0,CAR 31,0.0,7.0,D'Onta Foreman left guard for 7 yards (tackle by Shy Tuttle),0.87,1.47,18.0,2022,261
1.0,9:39,1.0,10.0,CAR 38,0.0,7.0,Sam Darnold pass incomplete deep left intended for D.J. Moore,1.47,0.92,18.0,2022,261
1.0,9:33,2.0,10.0,CAR 38,0.0,7.0,Laviska Shenault right guard for 1 yard (tackle by Cameron Jordan and Carl Granderson),0.92,0.37,18.0,2022,261
1.0,8:49,3.0,9.0,CAR 39,0.0,7.0,Sam Darnold pass complete short right to Terrace Marshall for 2 yards (tackle by Demario Davis and Marshon Lattimore),0.37,-0.65,18.0,2022,261
1.0,8:01,4.0,7.0,CAR 41,0.0,7.0,Johnny Hekker punts 41 yards out of bounds,-0.65,-0.04,18.0,2022,261
1.0,7:52,1.0,10.0,NOR 18,0.0,7.0,Alvin Kamara left guard for 1 yard (tackle by Bravvion Roy and Yetur Gross-Matos),0.04,-0.32,18.0,2022,261
1.0,7:18,2.0,9.0,NOR 19,0.0,7.0,Taysom Hill left end for 8 yards (tackle by Myles Hartsfield),-0.32,-0.02,18.0,2022,261
1.0,6:38,3.0,1.0,NOR 27,0.0,7.0,Alvin Kamara left guard for 13 yards (tackle by Xavier Woods),-0.02,1.6,18.0,2022,261
1.0,6:02,1.0,10.0,NOR 40,0.0,7.0,Andy Dalton pass incomplete short left intended for Chris Olave,1.6,1.05,18.0,2022,261
1.0,5:58,2.0,10.0,NOR 40,0.0,7.0,Alvin Kamara left guard for 5 yards (tackle by Derrick Brown),1.05,1.03,18.0,2022,261
1.0,5:14,3.0,5.0,NOR 45,0.0,7.0,Andy Dalton pass incomplete short right intended for Chris Olave (defended by Frankie Luvu),1.03,-0.39,18.0,2022,261
1.0,5:10,4.0,5.0,NOR 45,0.0,7.0,"Blake Gillikin punts 42 yards, fair catch by Andre Roberts at CAR-13",-0.39,0.32,18.0,2022,261
1.0,5:04,1.0,10.0,CAR 13,0.0,7.0,Chuba Hubbard right tackle for 5 yards (tackle by Marcus Davenport),-0.32,-0.14,18.0,2022,261
