Unnamed: 0,NYJ,MIA,week,year,game_id
First Downs,11,17,18.0,2022,265
Rush-Yds-TDs,20-38-0,32-162-0,18.0,2022,265
Cmp-Att-Yd-TD-INT,18-33-149-0-0,20-31-152-0-0,18.0,2022,265
Sacked-Yards,0-0,1-12,18.0,2022,265
Net Pass Yards,149,140,18.0,2022,265
Total Yards,187,302,18.0,2022,265
Fumbles-Lost,2-0,1-0,18.0,2022,265
Turnovers,0,0,18.0,2022,265
Penalties-Yards,6-54,5-47,18.0,2022,265
Third Down Conv.,7-16,4-13,18.0,2022,265
Fourth Down Conv.,0-0,1-2,18.0,2022,265
Time of Possession,24:35,35:25,18.0,2022,265
